uncertainty,seek/sharing,Market_change,Instr,Task1Seek,ID_n
24,0,-429,1,1,33
8,0,-424,1,1,33
60,6,459,1,1,33
70,6,469,1,1,33
6,1,-471,1,1,33
54,5,-459,1,1,33
30,5,-442,1,1,33
11,2,416,1,1,33
92,6,-474,1,1,33
54,5,476,1,1,33
33,5,-413,1,1,33
11,1,-408,1,1,33
11,1,-447,1,1,33
52,5,-488,1,1,33
9,1,-468,1,1,33
88,6,438,1,1,33
54,6,485,1,1,33
37,6,485,1,1,33
73,6,487,1,1,33
17,1,461,1,1,33
91,6,-453,1,1,33
87,6,-467,1,1,33
39,6,423,1,1,33
67,6,426,1,1,33
53,6,493,1,1,33
78,6,426,1,1,33
77,6,467,1,1,33
71,6,-478,1,1,33
58,6,-428,1,1,33
17,6,491,1,1,33
40,6,-436,1,1,33
70,6,-480,1,1,33
13,6,438,1,1,33
89,6,-402,1,1,33
49,6,-408,1,1,33
29,6,-464,1,1,33
22,6,448,1,1,33
16,5,-489,0,1,33
85,6,415,0,1,33
90,0,-442,0,1,33
50,0,-438,0,1,33
15,0,-431,0,1,33
23,0,493,0,1,33
50,0,-466,0,1,33
85,0,475,0,1,33
12,0,-452,0,1,33
32,0,-458,0,1,33
74,0,-456,0,1,33
10,0,-428,0,1,33
58,0,496,0,1,33
82,0,-415,0,1,33
57,0,-407,0,1,33
53,0,-407,0,1,33
93,0,496,0,1,33
25,0,422,0,1,33
51,0,447,0,1,33
93,0,401,0,1,33
98,0,425,0,1,33
23,0,407,0,1,33
3,0,-493,0,1,33
8,0,481,0,1,33
18,0,455,0,1,33
38,0,-406,0,1,33
32,0,486,0,1,33
34,0,-431,0,1,33
84,0,421,0,1,33
1,0,-462,0,1,33
42,0,430,0,1,33
65,0,488,0,1,33
69,0,436,0,1,33
48,0,408,0,1,33
79,0,449,0,1,33
32,0,408,0,1,33
36,0,-426,0,1,33
74,0,459,0,1,33
7,0,467,0,1,33
12,0,453,0,1,33
93,6,-441,1,1,40
48,6,430,1,1,40
20,0,-401,1,1,40
78,6,462,1,1,40
51,6,-404,1,1,40
69,6,-414,1,1,40
7,0,-415,1,1,40
18,6,480,1,1,40
5,6,-463,1,1,40
60,6,459,1,1,40
92,6,420,1,1,40
53,6,-443,1,1,40
44,6,407,1,1,40
81,6,400,1,1,40
37,6,-407,1,1,40
32,6,-430,1,1,40
5,6,468,1,1,40
44,6,462,1,1,40
71,6,-446,1,1,40
99,6,-475,1,1,40
3,6,487,1,1,40
39,6,-400,1,1,40
30,6,-437,1,1,40
73,6,445,1,1,40
49,6,-490,1,1,40
69,6,423,1,1,40
20,6,490,1,1,40
75,6,426,1,1,40
46,6,-479,1,1,40
51,6,484,1,1,40
72,6,-446,1,1,40
74,6,467,1,1,40
50,6,478,1,1,40
92,6,487,1,1,40
28,6,431,1,1,40
20,6,485,1,1,40
16,6,-497,1,1,40
95,6,-403,1,1,40
83,6,-480,1,1,40
77,6,480,1,1,40
70,6,440,0,1,40
32,6,-406,0,1,40
40,6,442,0,1,40
55,6,-442,0,1,40
65,6,472,0,1,40
17,6,425,0,1,40
92,6,-437,0,1,40
91,6,430,0,1,40
91,6,-417,0,1,40
21,6,492,0,1,40
86,6,-490,0,1,40
23,6,483,0,1,40
21,6,-451,0,1,40
35,6,470,0,1,40
26,6,469,0,1,40
25,6,-431,0,1,40
75,6,-432,0,1,40
52,6,436,0,1,40
66,6,-490,0,1,40
64,6,429,0,1,40
97,6,456,0,1,40
46,6,-472,0,1,40
87,6,444,0,1,40
47,6,433,0,1,40
1,0,-464,0,1,40
15,6,462,0,1,40
95,6,457,0,1,40
18,6,413,0,1,40
12,6,-496,0,1,40
73,6,-405,0,1,40
37,6,453,0,1,40
34,6,-470,0,1,40
68,6,472,0,1,40
75,6,431,0,1,40
15,6,495,0,1,40
12,6,437,0,1,40
19,6,485,0,1,40
79,6,483,0,1,40
13,6,463,0,1,40
75,6,-454,0,1,40
95,6,481,1,1,57
74,5,483,1,1,57
47,3,-464,1,1,57
68,6,-481,1,1,57
71,6,491,1,1,57
27,0,450,1,1,57
41,4,-462,1,1,57
43,5,-470,1,1,57
80,6,-494,1,1,57
23,0,-476,1,1,57
46,6,475,1,1,57
35,0,483,1,1,57
90,4,-463,1,1,57
59,6,-499,1,1,57
27,6,-500,1,1,57
38,5,-452,1,1,57
30,6,416,1,1,57
12,0,463,1,1,57
74,6,438,1,1,57
46,6,423,1,1,57
17,0,-471,1,1,57
60,6,465,1,1,57
31,1,442,1,1,57
33,6,439,1,1,57
61,6,-465,1,1,57
7,0,-410,1,1,57
55,6,496,1,1,57
94,6,-438,1,1,57
76,6,461,1,1,57
51,6,-486,1,1,57
41,6,456,1,1,57
15,0,-484,1,1,57
4,0,-406,1,1,57
52,6,405,1,1,57
63,6,450,1,1,57
85,6,413,1,1,57
19,1,-462,1,1,57
55,5,-453,1,1,57
4,0,483,1,1,57
90,6,-440,1,1,57
84,6,451,0,1,57
74,6,-463,0,1,57
9,0,-482,0,1,57
16,4,-440,0,1,57
77,6,-428,0,1,57
55,6,490,0,1,57
37,5,460,0,1,57
95,6,-461,0,1,57
95,6,440,0,1,57
91,6,491,0,1,57
97,6,449,0,1,57
79,6,455,0,1,57
54,6,400,0,1,57
6,0,444,0,1,57
16,0,424,0,1,57
41,5,487,0,1,57
57,5,493,0,1,57
68,6,-459,0,1,57
61,6,-415,0,1,57
13,0,470,0,1,57
33,6,489,0,1,57
43,6,-468,0,1,57
68,6,-497,0,1,57
58,5,474,0,1,57
92,6,-413,0,1,57
61,6,481,0,1,57
54,5,-415,0,1,57
20,1,436,0,1,57
22,5,479,0,1,57
97,6,470,0,1,57
81,6,474,0,1,57
44,5,481,0,1,57
84,6,-492,0,1,57
77,6,447,0,1,57
72,6,402,0,1,57
79,6,-484,0,1,57
90,6,486,0,1,57
68,5,-455,0,1,57
30,4,412,0,1,57
53,6,431,0,1,57
10,6,-437,1,1,63
10,6,415,1,1,63
62,6,-488,1,1,63
84,6,-460,1,1,63
88,6,-457,1,1,63
35,6,470,1,1,63
81,6,418,1,1,63
58,6,-462,1,1,63
68,6,-470,1,1,63
10,6,-450,1,1,63
6,6,413,1,1,63
93,6,-454,1,1,63
85,6,-451,1,1,63
16,6,402,1,1,63
70,6,-440,1,1,63
37,6,488,1,1,63
22,6,403,1,1,63
11,6,-488,1,1,63
42,6,441,1,1,63
21,6,-415,1,1,63
82,6,-410,1,1,63
21,6,-462,1,1,63
8,6,469,1,1,63
84,6,-478,1,1,63
23,6,427,1,1,63
93,6,431,1,1,63
23,6,-499,1,1,63
42,6,-412,1,1,63
59,6,443,1,1,63
67,6,416,1,1,63
19,6,-401,1,1,63
8,6,497,1,1,63
65,6,478,1,1,63
95,6,-409,1,1,63
84,6,477,1,1,63
28,6,468,1,1,63
63,6,-469,1,1,63
37,6,-483,1,1,63
78,6,-419,1,1,63
32,6,-443,1,1,63
49,6,-437,0,1,63
96,6,-477,0,1,63
35,6,482,0,1,63
90,6,-435,0,1,63
46,6,465,0,1,63
94,6,469,0,1,63
63,6,-471,0,1,63
73,6,-432,0,1,63
1,0,-433,0,1,63
36,6,-481,0,1,63
85,6,-416,0,1,63
4,0,-423,0,1,63
99,6,-482,0,1,63
32,6,-473,0,1,63
55,6,-490,0,1,63
7,6,447,0,1,63
54,6,-440,0,1,63
36,6,414,0,1,63
91,6,496,0,1,63
7,6,-437,0,1,63
97,6,497,0,1,63
96,6,-426,0,1,63
46,6,414,0,1,63
25,6,-439,0,1,63
87,6,446,0,1,63
5,6,-402,0,1,63
35,6,453,0,1,63
96,6,-421,0,1,63
86,6,430,0,1,63
93,6,405,0,1,63
53,6,485,0,1,63
45,6,400,0,1,63
37,6,436,0,1,63
56,6,419,0,1,63
91,6,-472,0,1,63
55,6,-433,0,1,63
82,6,460,0,1,63
58,6,-410,0,1,63
18,6,-454,0,1,63
58,6,-483,0,1,63
82,6,488,1,1,67
8,5,-406,1,1,67
50,5,-461,1,1,67
82,5,-475,1,1,67
49,5,406,1,1,67
39,5,-464,1,1,67
80,2,-495,1,1,67
20,2,-458,1,1,67
96,5,428,1,1,67
80,3,-475,1,1,67
81,5,448,1,1,67
6,3,415,1,1,67
73,5,481,1,1,67
45,2,-450,1,1,67
52,2,-490,1,1,67
98,6,-418,1,1,67
17,1,-497,1,1,67
47,2,-419,1,1,67
97,6,458,1,1,67
80,5,-413,1,1,67
72,5,424,1,1,67
17,4,464,1,1,67
14,5,449,1,1,67
23,5,-439,1,1,67
99,3,-416,1,1,67
10,5,500,1,1,67
43,4,484,1,1,67
99,6,472,1,1,67
36,4,429,1,1,67
62,4,464,1,1,67
44,5,431,1,1,67
1,2,-487,1,1,67
86,5,-484,1,1,67
20,1,-474,1,1,67
7,1,-470,1,1,67
31,4,480,1,1,67
8,3,447,1,1,67
36,4,-403,1,1,67
58,4,489,1,1,67
34,4,-430,1,1,67
20,1,459,0,1,67
84,4,437,0,1,67
45,3,431,0,1,67
6,5,-480,0,1,67
21,1,454,0,1,67
53,5,-497,0,1,67
99,2,420,0,1,67
7,1,-444,0,1,67
15,3,451,0,1,67
84,4,-489,0,1,67
34,3,-401,0,1,67
92,1,463,0,1,67
41,2,431,0,1,67
38,2,448,0,1,67
33,2,461,0,1,67
12,4,401,0,1,67
29,4,460,0,1,67
78,6,-416,0,1,67
32,5,451,0,1,67
7,0,478,0,1,67
27,1,-412,0,1,67
84,0,494,0,1,67
47,5,426,0,1,67
12,0,-441,0,1,67
29,3,-418,0,1,67
13,4,458,0,1,67
37,4,-455,0,1,67
45,2,-421,0,1,67
21,2,423,0,1,67
51,1,-406,0,1,67
43,4,439,0,1,67
99,6,-422,0,1,67
92,1,-414,0,1,67
89,5,-448,0,1,67
99,5,-499,0,1,67
83,1,-458,0,1,67
41,2,431,0,1,67
24,2,-431,0,1,67
71,0,498,0,1,67
90,2,426,0,1,67
60,6,-416,1,1,68
21,5,-473,1,1,68
80,6,-456,1,1,68
80,6,-401,1,1,68
21,3,-462,1,1,68
20,6,-412,1,1,68
3,0,-406,1,1,68
73,6,491,1,1,68
38,6,-472,1,1,68
21,6,408,1,1,68
90,6,413,1,1,68
26,6,-495,1,1,68
26,3,409,1,1,68
22,6,-459,1,1,68
5,3,401,1,1,68
45,3,-445,1,1,68
69,6,-496,1,1,68
55,5,425,1,1,68
22,5,497,1,1,68
78,6,422,1,1,68
22,0,403,1,1,68
39,5,-407,1,1,68
84,6,487,1,1,68
83,6,-456,1,1,68
76,6,472,1,1,68
12,6,-468,1,1,68
83,6,496,1,1,68
11,5,486,1,1,68
52,6,418,1,1,68
83,6,481,1,1,68
47,5,-499,1,1,68
31,3,-486,1,1,68
68,6,-461,1,1,68
70,5,-408,1,1,68
67,4,-429,1,1,68
82,6,480,1,1,68
89,6,-481,1,1,68
44,6,454,1,1,68
89,2,-417,1,1,68
96,0,416,1,1,68
27,1,415,0,1,68
46,6,450,0,1,68
95,0,468,0,1,68
84,1,492,0,1,68
44,4,-455,0,1,68
3,6,-465,0,1,68
47,2,-436,0,1,68
86,2,448,0,1,68
85,1,429,0,1,68
43,2,418,0,1,68
35,4,452,0,1,68
38,4,413,0,1,68
71,1,-473,0,1,68
87,0,484,0,1,68
85,0,-418,0,1,68
31,4,-454,0,1,68
94,6,439,0,1,68
3,3,439,0,1,68
63,2,-466,0,1,68
65,2,-447,0,1,68
55,4,433,0,1,68
3,0,-468,0,1,68
69,4,428,0,1,68
83,1,-451,0,1,68
34,5,459,0,1,68
41,3,425,0,1,68
15,3,-482,0,1,68
21,1,431,0,1,68
55,4,459,0,1,68
75,5,-496,0,1,68
61,1,424,0,1,68
91,6,446,0,1,68
80,4,-404,0,1,68
27,6,-427,0,1,68
77,4,-436,0,1,68
80,6,-456,0,1,68
47,3,-421,0,1,68
79,4,419,0,1,68
22,1,-463,0,1,68
56,5,-465,0,1,68
72,4,-406,1,1,72
47,6,439,1,1,72
75,4,486,1,1,72
60,5,-498,1,1,72
3,5,-400,1,1,72
58,4,401,1,1,72
15,4,431,1,1,72
16,5,495,1,1,72
81,5,409,1,1,72
52,4,-443,1,1,72
85,4,-481,1,1,72
10,4,-467,1,1,72
73,4,-417,1,1,72
77,4,419,1,1,72
85,4,433,1,1,72
2,5,-435,1,1,72
93,5,415,1,1,72
42,4,-462,1,1,72
27,4,-485,1,1,72
57,4,472,1,1,72
10,5,430,1,1,72
2,5,408,1,1,72
41,5,448,1,1,72
67,5,499,1,1,72
83,4,458,1,1,72
17,4,498,1,1,72
40,4,-410,1,1,72
38,4,-426,1,1,72
28,4,480,1,1,72
56,4,467,1,1,72
1,6,472,1,1,72
35,4,-474,1,1,72
10,4,-431,1,1,72
8,4,473,1,1,72
44,4,486,1,1,72
57,4,483,1,1,72
14,4,-480,1,1,72
26,4,447,1,1,72
63,4,-489,1,1,72
94,5,435,1,1,72
84,3,-482,0,1,72
77,4,401,0,1,72
23,4,-426,0,1,72
64,5,462,0,1,72
87,3,408,0,1,72
23,5,496,0,1,72
32,5,500,0,1,72
92,6,412,0,1,72
54,5,460,0,1,72
77,5,-412,0,1,72
76,5,-414,0,1,72
4,5,-436,0,1,72
32,5,-462,0,1,72
75,5,487,0,1,72
6,5,-495,0,1,72
11,5,492,0,1,72
21,5,-497,0,1,72
57,4,470,0,1,72
28,4,-446,0,1,72
14,4,454,0,1,72
80,4,489,0,1,72
26,4,-441,0,1,72
7,4,-479,0,1,72
1,5,492,0,1,72
70,4,431,0,1,72
42,4,427,0,1,72
49,4,419,0,1,72
21,4,-473,0,1,72
58,4,-418,0,1,72
80,4,448,0,1,72
91,4,-469,0,1,72
86,4,455,0,1,72
50,4,463,0,1,72
43,4,-475,0,1,72
94,4,-428,0,1,72
60,4,468,0,1,72
79,4,442,0,1,72
5,5,461,0,1,72
23,5,-437,0,1,72
5,5,434,0,1,72
49,6,445,1,1,74
17,6,-488,1,1,74
80,6,-499,1,1,74
35,6,-434,1,1,74
52,6,458,1,1,74
46,6,-486,1,1,74
88,6,-450,1,1,74
44,6,-419,1,1,74
44,6,417,1,1,74
2,6,404,1,1,74
64,3,-429,1,1,74
88,4,463,1,1,74
22,5,-408,1,1,74
15,6,486,1,1,74
98,6,-487,1,1,74
37,5,425,1,1,74
34,6,454,1,1,74
69,6,-408,1,1,74
31,6,480,1,1,74
4,6,-403,1,1,74
24,6,462,1,1,74
56,6,442,1,1,74
72,6,434,1,1,74
17,6,478,1,1,74
63,6,-472,1,1,74
54,6,-482,1,1,74
15,3,-498,1,1,74
71,3,429,1,1,74
1,0,442,1,1,74
94,3,467,1,1,74
35,3,458,1,1,74
58,3,-479,1,1,74
91,3,-431,1,1,74
74,3,451,1,1,74
75,3,-491,1,1,74
30,3,-476,1,1,74
25,3,493,1,1,74
60,3,460,1,1,74
21,3,423,1,1,74
49,3,470,1,1,74
69,3,476,0,1,74
35,3,473,0,1,74
58,3,492,0,1,74
7,3,-467,0,1,74
85,3,447,0,1,74
8,3,424,0,1,74
96,3,-441,0,1,74
58,3,457,0,1,74
18,3,468,0,1,74
53,3,426,0,1,74
39,3,494,0,1,74
32,3,500,0,1,74
74,3,456,0,1,74
60,3,400,0,1,74
69,3,-482,0,1,74
74,3,-445,0,1,74
36,3,-433,0,1,74
91,3,-485,0,1,74
90,3,-463,0,1,74
98,3,453,0,1,74
14,3,450,0,1,74
43,3,-444,0,1,74
78,3,457,0,1,74
92,3,488,0,1,74
43,3,469,0,1,74
57,3,-432,0,1,74
22,3,471,0,1,74
60,3,500,0,1,74
23,3,-441,0,1,74
44,3,498,0,1,74
99,3,-427,0,1,74
76,3,-401,0,1,74
61,3,493,0,1,74
45,3,-472,0,1,74
84,3,411,0,1,74
49,3,434,0,1,74
50,3,-462,0,1,74
20,3,-416,0,1,74
26,3,-435,0,1,74
44,3,406,0,1,74
74,5,-451,1,1,76
30,2,-417,1,1,76
51,2,457,1,1,76
84,3,486,1,1,76
23,2,-498,1,1,76
42,3,434,1,1,76
74,4,-439,1,1,76
94,3,462,1,1,76
50,3,458,1,1,76
79,4,-493,1,1,76
92,2,439,1,1,76
47,3,439,1,1,76
60,4,-490,1,1,76
68,3,484,1,1,76
40,4,487,1,1,76
40,3,-425,1,1,76
30,4,454,1,1,76
67,2,471,1,1,76
66,2,412,1,1,76
8,5,470,1,1,76
71,2,436,1,1,76
99,5,-435,1,1,76
85,2,454,1,1,76
30,3,-490,1,1,76
22,4,-463,1,1,76
85,3,436,1,1,76
30,4,-434,1,1,76
20,4,-453,1,1,76
4,6,461,1,1,76
62,2,-469,1,1,76
49,3,422,1,1,76
85,1,-424,1,1,76
99,0,411,1,1,76
9,5,-482,1,1,76
54,2,478,1,1,76
18,5,498,1,1,76
56,3,452,1,1,76
56,2,463,1,1,76
61,2,-441,1,1,76
34,4,483,1,1,76
56,2,448,0,1,76
24,4,-403,0,1,76
74,1,-488,0,1,76
87,1,-414,0,1,76
93,1,479,0,1,76
33,3,-429,0,1,76
40,3,427,0,1,76
77,1,496,0,1,76
52,3,-442,0,1,76
98,1,-450,0,1,76
11,5,-468,0,1,76
70,2,463,0,1,76
91,1,-485,0,1,76
94,1,471,0,1,76
30,4,-433,0,1,76
92,1,463,0,1,76
50,3,427,0,1,76
37,4,-471,0,1,76
87,1,435,0,1,76
63,2,-484,0,1,76
75,2,486,0,1,76
85,1,-419,0,1,76
63,1,417,0,1,76
79,1,-417,0,1,76
71,2,-412,0,1,76
74,1,-483,0,1,76
26,5,-413,0,1,76
81,1,401,0,1,76
25,5,477,0,1,76
5,6,430,0,1,76
25,5,441,0,1,76
34,4,400,0,1,76
