n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
7,63,2,0,-416,0,3,-416,1
8,23,4,1,411,0,3,411,1
9,88,2,0,-422,0,3,-459,1
11,96,2,1,-423,0,3,460,1
12,28,2,0,-491,0,3,-461,1
13,27,3,0,-439,0,3,-439,1
14,65,3,0,-479,0,3,-479,1
15,79,1,1,-443,0,3,419,1
17,72,4,0,439,0,3,-477,1
18,65,4,0,497,0,3,-441,1
19,57,4,1,414,0,3,414,1
20,59,4,1,440,0,3,440,1
21,68,2,0,420,0,3,-444,1
22,64,5,1,-469,0,3,460,1
24,62,3,1,-475,0,3,492,1
25,80,0,0,-402,0,3,-402,1
27,45,3,1,408,0,3,464,1
28,48,3,0,-440,0,3,-440,1
29,84,3,1,500,0,3,450,1
30,30,2,0,-428,0,3,-428,1
32,13,3,1,439,0,3,439,1
33,23,4,1,482,0,3,482,1
34,73,0,0,-439,0,3,-439,1
35,51,6,1,482,0,3,461,1
36,19,6,1,429,0,3,429,1
37,76,1,1,-424,0,3,417,1
38,86,1,0,-497,0,3,-411,1
40,70,3,0,408,0,3,-426,1
41,62,2,1,456,0,3,456,1
42,53,2,0,-466,0,3,-466,1
43,2,6,1,443,0,3,443,1
44,27,4,0,-402,0,3,-402,1
46,75,3,0,-464,0,3,-456,1
47,34,3,0,491,0,3,-447,1
48,24,3,0,-484,0,3,-484,1
1,38,3,0,-421,0,3,-454,0
2,72,5,1,493,0,3,493,0
3,56,6,0,412,0,3,-465,0
4,94,5,0,-465,0,3,-416,0
5,30,0,0,-454,0,3,-454,0
7,98,4,0,-466,0,3,-480,0
8,9,0,0,-478,0,3,-478,0
9,80,2,1,448,0,3,448,0
11,59,1,0,-437,0,3,-447,0
12,80,6,1,-464,0,3,413,0
13,51,4,0,-445,0,3,-445,0
14,38,2,0,-462,0,3,-462,0
15,4,0,1,474,0,3,474,0
17,26,6,1,-474,0,3,499,0
18,35,6,0,474,0,3,-474,0
19,53,3,0,-479,0,3,-401,0
20,79,0,0,-432,0,3,-432,0
21,18,0,0,-475,0,3,-475,0
22,45,4,1,499,0,3,499,0
24,49,3,1,452,0,3,452,0
25,38,4,1,487,0,3,487,0
27,35,2,0,-450,0,3,-450,0
28,54,1,1,438,0,3,438,0
29,27,6,1,-477,0,3,490,0
30,76,5,0,-494,0,3,-423,0
32,67,0,0,-419,0,3,-419,0
33,10,0,0,-472,0,3,-472,0
34,63,2,1,460,0,3,457,0
35,31,3,1,466,0,3,466,0
36,90,5,0,-490,0,3,-437,0
37,2,0,0,-496,0,3,-496,0
38,10,0,1,437,0,3,437,0
40,27,2,1,472,0,3,472,0
41,21,1,1,403,0,3,403,0
42,88,6,1,-472,0,3,401,0
43,39,4,0,-420,0,3,-420,0
44,29,0,0,-402,0,3,-402,0
46,63,4,0,-456,0,3,-456,0
47,84,0,0,-460,0,3,-460,0
48,61,3,1,411,0,3,411,0
1,83,6,0,465,1,4,-425,1
2,37,6,1,-422,1,4,474,1
3,19,1,1,448,1,4,448,1
4,65,2,0,-473,1,4,-414,1
5,42,1,1,424,1,4,409,1
7,66,1,1,495,1,4,467,1
8,68,1,1,440,1,4,411,1
9,76,1,0,-487,1,4,-456,1
11,44,1,0,-408,1,4,-408,1
12,24,6,1,-461,1,4,444,1
13,77,6,1,-459,1,4,490,1
14,50,1,1,417,1,4,417,1
15,69,1,0,-459,1,4,-489,1
17,6,1,0,-406,1,4,-406,1
18,89,1,1,432,1,4,418,1
19,74,2,0,-431,1,4,-471,1
20,93,2,0,-488,1,4,-493,1
21,26,1,1,481,1,4,489,1
22,69,6,1,-409,1,4,492,1
