n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr
27,35,2,0,-450,0
28,54,1,1,438,0
29,27,6,1,-477,0
30,76,5,0,-494,0
32,67,0,0,-419,0
33,10,0,0,-472,0
34,63,2,1,460,0
35,31,3,1,466,0
36,90,5,0,-490,0
37,2,0,0,-496,0
38,10,0,1,437,0
40,27,2,1,472,0
41,21,1,1,403,0
42,88,6,1,-472,0
43,39,4,0,-420,0
44,29,0,0,-402,0
46,63,4,0,-456,0
47,84,0,0,-460,0
48,61,3,1,411,0
1,83,6,0,465,1
2,37,6,1,-422,1
3,19,1,1,448,1
4,65,2,0,-473,1
5,42,1,1,424,1
7,66,1,1,495,1
8,68,1,1,440,1
9,76,1,0,-487,1
11,44,1,0,-408,1
12,24,6,1,-461,1
13,77,6,1,-459,1
14,50,1,1,417,1
15,69,1,0,-459,1
17,6,1,0,-406,1
18,89,1,1,432,1
19,74,2,0,-431,1
20,93,2,0,-488,1
21,26,1,1,481,1
22,69,6,1,-409,1
24,37,6,1,-457,1
25,5,1,1,491,1
27,25,1,0,-473,1
28,79,4,0,-469,1
29,39,1,0,-438,1
30,62,3,0,-423,1
32,72,3,0,-477,1
33,46,3,1,468,1
34,19,4,0,-441,1
35,44,3,0,-445,1
36,90,6,0,408,1
37,47,2,1,442,1
38,8,1,0,-475,1
40,9,1,1,452,1
41,77,3,1,-459,1
42,7,1,1,487,1
43,68,6,1,-428,1
44,6,1,0,-409,1
46,97,6,1,499,1
47,73,4,0,-415,1
48,86,4,1,434,1
1,22,0,0,-456,0
2,14,0,1,496,0
3,76,6,1,-455,0
4,55,6,0,-499,0
5,21,1,0,-487,0
7,43,6,0,-443,0
8,95,6,1,-425,0
9,23,0,0,-469,0
11,23,0,1,470,0
12,30,1,0,-494,0
13,38,5,0,490,0
14,18,1,0,-426,0
15,21,6,1,-484,0
17,99,5,0,-470,0
18,40,1,1,452,0
19,88,6,1,-460,0
20,93,1,1,-472,0
21,38,6,1,-447,0
22,23,1,1,479,0
24,45,1,0,-482,0
25,1,4,0,-448,0
27,50,2,1,458,0
28,12,2,0,-443,0
29,98,3,1,461,0
30,55,1,0,-457,0
32,4,1,1,478,0
33,29,1,0,-416,0
34,15,1,1,425,0
35,97,2,1,437,0
36,43,6,0,497,0
37,18,2,0,-449,0
38,27,2,0,-491,0
40,66,6,0,403,0
41,17,5,1,-484,0
42,30,1,1,417,0
43,25,6,0,473,0
44,93,5,0,-408,0
46,92,4,0,-475,0
47,44,1,1,446,0
48,52,1,1,437,0
1,46,6,1,479,1
2,4,6,0,-484,1
3,98,6,1,489,1
4,54,6,1,430,1
5,29,6,1,482,1
7,46,6,0,485,1
8,67,6,0,-482,1
9,63,6,1,468,1
11,71,6,0,447,1
12,66,6,1,-451,1
13,35,6,0,-451,1
14,33,6,0,-457,1
15,66,6,0,424,1
17,42,6,0,-406,1
18,99,6,0,-452,1
19,88,6,1,477,1
20,30,6,0,-401,1
21,1,6,0,-420,1
22,80,6,0,-412,1
24,75,6,0,416,1
25,83,6,0,-402,1
27,2,6,1,496,1
28,86,6,1,-493,1
29,16,6,1,401,1
30,12,6,1,408,1
32,25,6,0,-484,1
33,52,6,0,-441,1
34,47,6,1,463,1
35,46,6,0,474,1
36,28,6,0,-405,1
37,11,6,0,-448,1
38,86,6,1,-438,1
40,45,6,1,-487,1
41,55,6,1,447,1
42,10,6,1,467,1
43,97,6,1,500,1
44,10,6,0,-462,1
46,89,6,0,-426,1
47,16,6,1,-424,1
48,79,6,0,-461,1
1,11,1,0,-454,1
2,33,4,1,440,1
3,67,5,0,-459,1
4,3,0,1,475,1
5,99,6,1,473,1
7,88,3,1,445,1
8,54,4,0,-496,1
9,13,2,1,489,1
11,54,2,1,412,1
12,94,6,0,-438,1
13,3,0,1,426,1
14,69,1,1,-488,1
15,44,6,0,404,1
17,42,1,1,500,1
18,46,4,0,-430,1
19,84,5,1,459,1
20,5,0,0,-436,1
21,80,6,1,-495,1
22,33,4,0,-419,1
24,25,6,0,409,1
25,7,0,0,-412,1
27,74,5,1,495,1
28,83,5,1,411,1
29,41,3,0,-431,1
30,45,0,0,-489,1
32,11,0,0,-447,1
33,9,0,0,-465,1
34,17,1,0,-413,1
35,61,2,1,417,1
36,73,6,0,-466,1
37,57,4,1,481,1
38,29,6,1,-430,1
40,71,6,1,-467,1
41,37,3,0,-439,1
42,62,1,1,447,1
43,92,6,1,-406,1
44,85,6,0,411,1
46,67,1,0,-432,1
47,29,6,0,492,1
48,15,5,0,-485,1
1,87,3,0,-422,0
2,47,3,0,493,0
3,84,3,0,-426,0
4,70,3,0,466,0
5,64,3,0,404,0
7,44,3,0,-408,0
8,22,3,1,408,0
9,17,3,0,-414,0
11,81,3,0,-428,0
12,71,3,0,-498,0
13,29,3,1,462,0
14,75,3,0,421,0
15,19,3,0,-429,0
17,5,3,0,-440,0
18,42,3,1,-425,0
19,70,3,1,435,0
20,86,3,0,-401,0
21,21,3,1,445,0
22,96,3,1,412,0
24,27,3,0,-410,0
25,84,3,0,435,0
27,99,3,1,-432,0
28,73,3,1,472,0
29,28,3,1,460,0
30,40,3,1,-448,0
32,86,3,0,463,0
33,69,3,0,426,0
34,14,3,0,-424,0
35,45,3,0,452,0
36,33,3,1,403,0
37,77,3,1,453,0
38,94,3,0,-462,0
40,11,3,1,-446,0
41,34,3,1,-490,0
42,39,3,0,-474,0
43,12,3,0,-400,0
44,67,3,0,-493,0
46,70,3,0,-427,0
47,80,3,0,-466,0
48,50,3,1,466,0
1,34,6,0,-406,1
2,5,6,1,457,1
3,71,6,1,416,1
4,22,6,0,445,1
5,9,6,0,484,1
7,74,6,1,-465,1
8,95,6,0,-491,1
9,28,6,0,-492,1
11,4,6,0,-419,1
12,1,6,1,413,1
13,2,6,1,407,1
14,53,6,0,-442,1
15,69,6,1,418,1
17,58,6,1,429,1
18,12,6,0,-429,1
19,98,6,1,-430,1
20,71,6,1,434,1
21,47,6,1,-429,1
22,78,6,1,449,1
24,3,6,0,-463,1
25,65,6,1,-440,1
27,58,6,0,-443,1
28,58,6,0,-447,1
29,18,6,1,418,1
30,62,6,1,-434,1
32,86,6,1,465,1
33,53,6,0,-455,1
34,10,6,0,-456,1
35,88,6,0,-463,1
36,75,6,1,405,1
37,14,6,1,415,1
38,74,6,1,495,1
40,36,6,0,-438,1
41,32,6,0,-437,1
42,4,6,1,413,1
43,21,6,0,-431,1
44,88,6,0,448,1
46,30,6,1,-496,1
47,19,6,0,-452,1
48,47,6,0,-420,1
1,56,6,0,458,0
2,75,6,0,-411,0
3,84,6,1,436,0
4,15,6,0,-456,0
5,12,6,0,-458,0
7,1,6,0,-487,0
8,24,6,1,402,0
9,55,6,0,-477,0
11,23,6,0,-425,0
12,87,6,1,-499,0
13,42,6,1,490,0
14,89,6,1,412,0
15,93,6,1,-419,0
17,75,6,1,-496,0
18,6,6,0,-445,0
19,96,6,0,437,0
20,93,6,0,-480,0
21,95,6,0,-486,0
22,69,6,1,414,0
24,33,6,0,-459,0
25,78,6,1,-412,0
27,7,6,1,493,0
28,23,6,0,-463,0
29,17,6,0,-406,0
30,39,6,0,-428,0
32,80,6,1,472,0
33,94,6,0,456,0
34,36,6,1,484,0
35,38,6,1,456,0
36,60,6,0,-445,0
37,70,6,1,402,0
38,58,6,0,433,0
40,13,6,0,-433,0
41,30,6,1,459,0
42,74,6,1,439,0
43,15,6,0,-458,0
44,59,6,0,402,0
46,82,6,1,-482,0
47,60,6,0,-463,0
48,7,6,0,-468,0
1,66,6,1,408,1
2,86,6,0,476,1
3,68,6,1,-448,1
4,47,6,0,425,1
5,2,6,1,450,1
7,32,6,1,416,1
8,91,6,0,-436,1
9,33,6,0,402,1
11,3,6,0,-407,1
12,93,6,1,403,1
13,83,6,0,430,1
14,31,6,1,497,1
15,56,6,0,-403,1
17,8,6,0,-453,1
18,59,6,0,-447,1
19,84,6,1,455,1
20,72,6,0,-409,1
21,18,6,0,-412,1
22,94,6,0,-473,1
24,68,6,1,458,1
25,6,6,1,419,1
27,70,6,1,456,1
28,23,6,1,408,1
29,20,6,0,-479,1
30,1,6,0,-460,1
32,98,6,1,442,1
33,83,6,1,464,1
34,96,6,1,468,1
35,27,6,1,447,1
36,60,6,0,-422,1
37,98,6,1,-424,1
38,76,6,0,497,1
40,2,6,0,-492,1
41,86,6,0,-486,1
42,92,6,0,478,1
43,15,6,0,450,1
44,92,6,0,-433,1
46,96,6,0,-404,1
47,89,6,0,-491,1
48,52,6,0,-499,1
1,19,0,0,-407,0
2,18,0,1,433,0
3,70,0,0,492,0
4,52,0,1,485,0
5,66,0,1,-476,0
7,63,0,1,461,0
8,83,0,1,-486,0
9,8,0,1,497,0
11,96,0,1,-452,0
12,44,0,1,440,0
13,89,0,1,432,0
14,60,0,0,-411,0
15,70,0,0,-453,0
17,5,0,0,-473,0
18,35,0,1,424,0
19,30,0,0,-456,0
20,12,0,0,-451,0
21,16,0,1,438,0
22,84,0,0,479,0
24,73,0,1,-406,0
25,22,0,0,415,0
27,43,0,0,-486,0
28,18,0,0,-410,0
29,40,0,0,-412,0
30,41,0,0,447,0
32,9,0,1,404,0
33,24,0,1,-454,0
34,93,0,1,468,0
35,33,0,0,450,0
36,55,0,0,-460,0
37,55,0,0,-430,0
38,22,0,1,444,0
