n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr
30,37,6,0,-488,1
32,44,6,1,486,1
33,55,6,0,451,1
34,94,6,0,431,1
35,85,6,0,473,1
36,2,6,0,-490,1
37,29,6,0,412,1
38,59,6,0,-426,1
40,34,6,0,-479,1
41,38,6,0,-476,1
42,95,6,1,426,1
43,78,6,1,-493,1
44,40,6,1,-427,1
46,46,6,0,464,1
47,66,6,0,468,1
48,62,6,0,-451,1
1,27,6,1,-422,0
2,89,6,0,-469,0
3,56,6,1,-460,0
4,35,6,1,444,0
5,66,5,1,-429,0
7,45,6,0,-486,0
8,46,6,0,-437,0
9,9,6,0,-410,0
11,65,6,0,-465,0
12,67,5,1,-430,0
13,45,6,1,494,0
14,82,6,1,-441,0
15,41,5,1,-477,0
17,62,6,0,-455,0
18,62,6,1,432,0
19,34,6,1,430,0
20,94,6,1,-458,0
21,88,6,1,-430,0
22,90,6,1,-493,0
24,38,6,1,445,0
25,87,6,1,468,0
27,48,6,0,-431,0
28,11,6,0,-440,0
29,76,6,1,451,0
30,92,5,0,483,0
32,75,6,0,-413,0
33,95,6,1,437,0
34,57,6,0,-412,0
35,78,6,0,-417,0
36,4,6,1,490,0
37,23,6,0,-468,0
38,39,5,1,-453,0
40,85,5,1,415,0
41,32,6,0,-488,0
42,65,5,1,431,0
43,60,6,0,-457,0
44,44,6,1,408,0
46,54,6,0,-429,0
47,3,5,1,416,0
48,47,6,1,446,0
1,18,4,0,-426,1
2,12,4,0,-465,1
3,87,3,1,-484,1
4,67,2,0,-408,1
5,55,3,0,-437,1
7,90,2,0,-492,1
8,18,5,1,467,1
9,32,5,1,449,1
11,13,6,1,500,1
12,62,3,0,-419,1
13,22,1,1,-409,1
14,74,1,1,-438,1
15,93,4,1,473,1
17,65,2,0,-420,1
18,67,6,1,467,1
19,28,4,1,410,1
20,39,4,1,402,1
21,47,3,0,-493,1
22,63,3,1,403,1
24,99,0,1,449,1
25,57,3,1,452,1
27,17,5,0,-484,1
28,64,2,0,-447,1
29,20,4,0,-448,1
30,66,5,0,429,1
32,73,0,1,-478,1
33,73,2,0,-475,1
34,16,3,0,-497,1
35,88,5,0,414,1
36,92,2,0,-493,1
37,52,2,0,-497,1
38,67,5,1,411,1
40,44,4,0,-468,1
41,42,3,0,-485,1
42,18,2,0,-441,1
43,57,6,1,453,1
44,51,5,1,402,1
46,71,6,1,482,1
47,56,1,0,-456,1
48,58,5,1,427,1
1,7,1,0,-417,0
2,71,4,0,-442,0
3,1,5,0,-478,0
4,22,6,1,463,0
5,82,4,0,-437,0
7,95,5,0,455,0
8,94,4,0,-498,0
9,6,5,1,448,0
11,13,6,1,479,0
12,3,6,0,-456,0
13,81,4,1,477,0
14,35,5,0,-464,0
15,32,3,0,405,0
17,21,4,0,-500,0
18,53,4,1,496,0
19,28,4,0,-438,0
20,4,6,1,494,0
21,48,4,0,428,0
22,54,3,0,443,0
24,34,5,1,410,0
25,72,4,0,496,0
27,78,1,0,-433,0
28,1,4,0,-462,0
29,68,3,1,-423,0
30,98,4,0,462,0
32,46,3,0,-402,0
33,59,4,1,437,0
34,84,1,0,-496,0
35,60,2,0,-450,0
36,90,3,0,439,0
37,52,2,0,-474,0
38,60,5,1,420,0
40,87,4,1,460,0
41,30,5,1,404,0
42,34,4,1,430,0
43,8,5,0,-416,0
44,7,5,0,-459,0
46,90,1,1,-401,0
47,76,2,1,428,0
48,48,1,1,-474,0
1,33,4,0,-476,1
2,96,0,0,463,1
3,38,4,0,-499,1
4,69,3,0,-487,1
5,86,3,1,462,1
7,65,2,0,-426,1
8,98,0,0,500,1
9,38,5,1,402,1
11,88,0,0,451,1
12,90,1,0,-417,1
13,53,4,1,420,1
14,72,1,0,424,1
15,5,6,0,-446,1
17,78,3,1,498,1
18,5,6,1,456,1
19,47,4,0,-402,1
20,78,3,1,402,1
21,38,4,0,-429,1
22,56,1,0,426,1
24,43,5,0,-456,1
25,58,4,1,487,1
27,9,6,0,-480,1
28,20,5,0,-473,1
29,67,3,1,463,1
30,95,1,0,-401,1
32,72,1,0,-425,1
33,34,5,0,-472,1
34,24,6,1,492,1
35,33,5,0,-489,1
36,48,4,1,490,1
37,54,3,0,-405,1
38,82,2,1,417,1
40,7,6,1,454,1
41,48,4,0,-451,1
42,37,4,1,409,1
43,84,2,1,475,1
44,29,5,1,425,1
46,49,3,0,-429,1
47,89,1,1,482,1
48,22,5,0,-454,1
1,72,2,0,455,0
2,44,3,0,-434,0
3,91,1,1,498,0
4,70,2,0,496,0
5,18,6,0,-403,0
7,61,2,0,-407,0
8,86,1,0,-406,0
9,34,5,1,460,0
11,82,1,0,-415,0
12,34,4,0,-453,0
13,14,6,1,437,0
14,56,2,0,414,0
15,73,1,0,467,0
17,64,2,0,459,0
18,18,5,0,-494,0
19,64,3,1,483,0
20,48,2,0,453,0
21,62,3,1,500,0
22,97,0,1,-493,0
24,41,5,1,417,0
25,91,2,1,445,0
27,30,6,0,-443,0
28,71,2,1,484,0
29,33,3,0,420,0
30,65,1,0,409,0
32,91,1,1,467,0
33,59,2,0,483,0
34,96,0,1,-428,0
35,18,6,1,458,0
36,93,0,1,-404,0
37,84,1,0,408,0
38,61,3,0,-433,0
40,55,4,1,480,0
41,94,0,0,497,0
42,88,2,0,-423,0
43,64,3,1,450,0
44,93,2,0,-409,0
46,45,4,1,457,0
47,30,6,1,416,0
48,4,6,1,441,0
1,66,5,1,497,1
2,77,6,0,-419,1
3,98,6,1,457,1
4,99,5,0,416,1
5,9,2,0,-419,1
7,19,3,0,-412,1
8,86,6,1,470,1
9,97,6,1,-486,1
11,38,6,0,474,1
12,43,6,1,461,1
13,23,5,1,-488,1
14,65,6,1,460,1
15,70,5,0,483,1
17,72,6,1,498,1
18,3,1,1,473,1
19,92,6,1,419,1
20,31,4,1,480,1
21,31,4,0,-446,1
22,83,6,1,462,1
24,16,2,1,405,1
25,78,6,1,-475,1
27,56,6,0,436,1
28,85,5,1,-408,1
29,58,6,0,-402,1
30,7,2,1,-410,1
32,13,0,0,-440,1
33,30,2,0,-487,1
34,37,4,0,-447,1
35,24,3,1,403,1
36,48,6,0,-462,1
37,54,6,1,490,1
38,51,6,1,-416,1
40,23,1,1,482,1
41,48,6,0,-465,1
42,1,0,1,479,1
43,33,5,0,-491,1
44,9,1,1,-406,1
46,70,5,0,406,1
47,14,2,1,475,1
48,77,5,0,471,1
1,81,2,0,-418,0
2,74,1,1,-462,0
3,76,0,0,-424,0
4,37,2,0,-424,0
5,59,5,1,466,0
7,58,5,1,423,0
8,93,6,0,403,0
9,12,1,1,403,0
11,85,4,0,400,0
12,28,2,1,482,0
13,68,5,1,402,0
14,42,0,0,-489,0
15,42,0,0,-450,0
17,75,1,0,-413,0
18,9,4,1,429,0
19,7,5,1,457,0
20,61,5,1,425,0
21,44,6,1,460,0
22,43,0,1,-459,0
24,15,3,1,456,0
25,87,6,0,447,0
27,32,4,1,483,0
28,20,0,0,-419,0
29,69,2,1,-454,0
30,99,6,0,473,0
32,57,1,1,-440,0
33,24,5,1,428,0
34,76,6,1,474,0
35,17,0,0,-411,0
36,15,4,1,491,0
37,22,2,1,420,0
38,43,6,0,441,0
40,45,5,0,473,0
41,37,6,1,451,0
42,67,0,0,-487,0
43,2,0,1,465,0
44,88,2,1,-412,0
46,36,0,1,-477,0
47,63,0,1,-447,0
48,48,0,0,-451,0
1,55,6,1,478,1
2,84,6,1,406,1
3,90,6,1,410,1
4,74,6,0,-416,1
5,46,6,0,-472,1
7,51,6,0,-428,1
8,62,6,0,-409,1
9,37,6,1,480,1
11,93,6,0,-412,1
12,40,6,0,437,1
13,93,6,0,-474,1
14,10,6,0,-419,1
15,6,6,0,-437,1
17,29,6,1,490,1
18,35,6,0,-400,1
19,52,6,1,-483,1
20,96,6,1,449,1
21,61,6,1,441,1
22,37,6,0,422,1
24,31,6,0,-439,1
25,14,6,1,407,1
27,27,6,0,478,1
28,12,6,1,427,1
29,66,6,0,468,1
30,29,6,0,-493,1
32,24,6,1,466,1
33,97,6,0,500,1
34,19,6,0,-484,1
35,49,6,1,427,1
36,33,6,1,439,1
37,94,6,0,-449,1
38,53,6,1,423,1
40,22,6,0,-437,1
41,47,6,0,-497,1
42,43,6,1,422,1
43,67,6,0,-442,1
44,41,6,1,415,1
46,36,6,1,479,1
47,25,6,0,-413,1
48,3,6,0,-471,1
1,3,6,0,-489,0
2,82,6,1,476,0
3,99,6,1,-462,0
4,45,6,1,432,0
5,39,6,1,-455,0
7,22,6,0,-425,0
8,16,6,1,472,0
9,3,6,1,485,0
11,50,6,0,-496,0
12,86,6,0,433,0
13,8,6,0,-427,0
14,69,6,1,477,0
15,23,6,0,-472,0
17,84,6,1,431,0
18,55,6,1,426,0
19,17,6,0,-408,0
20,13,6,0,-419,0
21,26,6,1,464,0
22,78,6,1,-444,0
24,20,6,0,-464,0
25,81,6,1,-424,0
27,58,6,1,443,0
28,36,6,1,488,0
29,24,6,1,421,0
30,18,6,0,-405,0
32,66,6,0,-424,0
33,5,6,0,-438,0
34,16,6,1,449,0
35,67,6,0,-496,0
36,8,6,0,-474,0
37,68,6,1,-483,0
38,65,6,1,-426,0
40,82,6,0,447,0
41,62,6,1,-431,0
42,46,6,0,-412,0
43,36,6,0,-466,0
44,92,6,0,-467,0
46,12,6,1,425,0
47,51,6,0,452,0
48,34,6,1,408,0
1,25,4,1,406,1
2,96,2,1,413,1
3,21,6,1,404,1
4,95,3,1,471,1
5,92,3,1,-499,1
7,80,5,0,-471,1
8,65,3,0,-422,1
9,27,3,0,-430,1
11,53,4,1,457,1
12,71,4,0,-460,1
13,37,6,1,-464,1
14,29,6,0,458,1
15,64,6,0,-434,1
17,45,6,1,-470,1
18,81,6,1,-405,1
19,76,6,0,-469,1
20,82,6,1,-415,1
21,76,6,0,468,1
22,54,6,0,-465,1
24,47,6,0,-485,1
25,44,6,0,-452,1
27,42,6,0,-408,1
28,61,6,0,414,1
29,44,6,1,-452,1
30,9,6,1,483,1
32,24,6,0,-456,1
33,25,6,0,-412,1
34,71,6,0,416,1
35,37,6,0,-413,1
36,3,6,1,496,1
37,58,6,0,-449,1
38,62,6,0,421,1
40,84,6,0,-452,1
41,70,6,1,-472,1
42,50,6,1,-433,1
43,6,6,1,497,1
44,82,6,1,497,1
46,9,6,0,-434,1
47,63,6,0,400,1
48,26,6,1,460,1
1,21,3,0,-437,0
2,35,3,1,-422,0
3,71,3,0,-426,0
4,4,3,0,-476,0
5,33,3,0,-498,0
7,15,3,0,-436,0
8,26,3,1,498,0
9,91,3,0,452,0
11,20,3,0,-480,0
12,10,3,1,468,0
13,40,3,0,-467,0
14,51,3,0,440,0
15,77,3,1,470,0
17,91,3,0,441,0
18,61,3,0,438,0
19,99,3,0,405,0
20,65,3,0,-404,0
21,18,3,1,445,0
22,67,3,0,-405,0
24,27,3,1,498,0
25,95,3,1,447,0
27,45,3,0,485,0
28,31,3,0,-451,0
29,57,3,1,-494,0
30,28,3,1,404,0
32,60,3,1,-436,0
33,55,3,1,401,0
34,62,3,0,-493,0
35,1,3,0,-402,0
36,39,3,1,415,0
37,64,3,1,418,0
38,35,3,1,453,0
40,3,3,0,-471,0
41,15,3,0,-417,0
42,58,3,0,-449,0
43,56,3,0,-432,0
44,41,3,0,-430,0
46,77,3,1,-497,0
47,58,3,1,-410,0
48,82,3,1,-456,0
1,71,6,0,-475,1
2,66,6,0,-489,1
3,7,6,1,411,1
4,53,6,1,496,1
5,86,6,1,436,1
7,27,6,0,484,1
8,11,6,0,-451,1
9,43,6,0,-492,1
11,62,6,0,473,1
12,97,6,1,470,1
13,81,6,1,449,1
14,56,6,0,-463,1
15,45,6,0,-485,1
17,29,6,0,-449,1
18,79,6,1,433,1
19,89,6,0,480,1
20,23,6,1,405,1
21,6,6,0,-472,1
22,12,6,1,428,1
24,20,6,1,400,1
25,89,6,0,489,1
27,31,6,1,426,1
28,9,6,1,401,1
29,35,5,1,461,1
30,8,5,1,497,1
32,86,6,0,-452,1
33,14,6,1,403,1
34,64,5,0,-448,1
35,19,5,0,-452,1
36,11,4,0,-422,1
37,7,5,1,448,1
38,72,6,0,-431,1
40,32,5,1,497,1
41,13,4,1,413,1
42,74,6,1,467,1
43,3,4,0,-493,1
44,62,6,1,457,1
46,51,6,1,471,1
47,57,6,0,-497,1
48,74,6,1,418,1
1,12,6,0,-410,0
2,57,6,0,462,0
3,2,6,1,462,0
4,1,6,0,-415,0
5,21,6,0,-400,0
7,71,6,0,-444,0
8,97,6,0,407,0
9,53,5,0,-414,0
11,20,6,1,479,0
12,52,6,1,467,0
13,18,6,1,414,0
14,84,6,1,483,0
15,46,3,0,-471,0
17,53,5,0,407,0
18,71,2,0,446,0
19,95,6,1,486,0
20,54,2,1,-439,0
21,65,2,1,-406,0
22,25,3,0,-454,0
24,85,6,1,444,0
25,57,3,0,-447,0
27,45,6,1,448,0
28,26,3,0,-440,0
29,84,6,1,446,0
30,11,3,0,-473,0
32,73,4,0,492,0
33,1,6,1,437,0
34,59,2,0,-414,0
35,60,6,0,484,0
36,44,2,0,-493,0
37,83,6,0,401,0
38,13,6,1,494,0
40,55,3,1,-451,0
41,86,3,0,-454,0
42,94,6,1,417,0
43,48,4,1,455,0
44,47,2,0,-442,0
46,50,6,1,483,0
47,15,6,1,500,0
48,27,2,0,-459,0
1,28,4,1,466,1
2,55,4,1,491,1
3,53,4,1,402,1
4,17,3,0,-409,1
5,18,2,0,-482,1
7,90,5,0,-494,1
8,23,6,0,402,1
9,10,0,0,-456,1
11,5,0,0,-475,1
12,29,1,0,-465,1
13,27,2,1,404,1
14,87,6,0,486,1
15,56,4,0,-453,1
17,20,0,0,-491,1
18,59,5,0,-422,1
19,71,6,1,408,1
20,90,6,0,-488,1
21,93,6,1,-459,1
22,3,0,0,-440,1
24,25,0,1,450,1
25,69,6,1,-465,1
27,43,2,1,483,1
28,10,0,1,430,1
29,32,3,0,-432,1
30,42,4,0,-474,1
32,4,0,1,471,1
33,64,5,1,482,1
34,73,6,0,493,1
35,13,1,0,-469,1
36,94,6,1,437,1
37,51,2,1,460,1
38,65,6,0,-500,1
40,99,6,1,483,1
41,52,6,1,486,1
42,91,6,0,485,1
43,66,2,1,474,1
44,60,2,1,457,1
46,98,6,1,442,1
47,44,1,1,450,1
48,86,5,0,-437,1
1,82,4,1,488,0
2,77,3,0,-487,0
3,57,3,0,-473,0
4,20,0,1,470,0
5,6,0,0,-431,0
7,65,4,1,406,0
8,57,5,1,-451,0
9,60,4,1,481,0
11,72,4,1,401,0
12,45,0,0,-473,0
13,54,0,0,-424,0
14,73,4,0,-466,0
15,43,5,0,487,0
17,28,0,0,-419,0
18,98,3,0,-406,0
19,95,5,0,446,0
20,60,2,0,-414,0
21,75,5,1,-489,0
22,48,3,0,-400,0
24,73,3,1,415,0
25,47,0,1,465,0
27,66,4,1,408,0
28,12,2,0,-413,0
29,56,5,0,410,0
30,23,0,1,464,0
32,77,4,1,459,0
33,17,0,1,450,0
34,67,4,1,437,0
35,55,5,0,476,0
36,53,4,0,-466,0
37,99,5,1,-409,0
38,74,5,0,487,0
40,1,0,1,424,0
41,91,5,0,431,0
42,59,4,1,439,0
43,5,0,0,-477,0
44,54,5,1,-401,0
46,70,1,1,428,0
47,43,4,0,-489,0
48,50,1,0,-495,0
1,16,6,1,-409,1
2,41,6,0,-473,1
3,35,6,1,487,1
4,82,6,1,469,1
5,13,6,0,-448,1
7,25,6,1,405,1
8,57,6,0,-438,1
9,98,6,0,-453,1
11,31,6,0,-450,1
12,64,6,0,-431,1
13,99,6,1,488,1
14,43,6,1,454,1
15,40,6,1,-469,1
17,66,6,1,404,1
18,23,6,0,-419,1
19,71,6,1,-485,1
20,34,6,0,-434,1
21,84,6,0,430,1
22,16,6,1,483,1
24,61,6,0,-455,1
25,67,6,1,442,1
27,28,6,1,454,1
28,72,6,1,-442,1
29,85,6,1,456,1
30,74,6,1,-490,1
32,25,6,1,449,1
33,92,6,0,-483,1
34,30,6,1,442,1
35,45,6,0,-488,1
36,71,6,1,437,1
37,15,6,0,-444,1
38,27,6,1,407,1
40,57,6,0,480,1
41,71,6,1,-407,1
42,94,6,0,458,1
43,47,6,1,473,1
44,17,6,1,465,1
46,81,6,0,-414,1
47,46,6,0,-499,1
48,49,6,0,443,1
1,59,0,1,410,0
2,4,0,0,-490,0
3,97,0,1,-467,0
4,6,0,0,-430,0
5,54,0,0,-408,0
7,54,0,1,442,0
8,48,0,0,-460,0
9,42,0,0,-480,0
11,99,0,0,-420,0
12,69,0,0,-475,0
13,60,0,0,-456,0
14,1,0,1,467,0
15,48,0,1,-402,0
17,60,0,1,-487,0
18,41,0,1,454,0
19,78,0,1,479,0
20,29,0,1,448,0
21,28,0,1,429,0
22,57,0,1,-455,0
24,97,0,1,424,0
25,92,0,1,-405,0
27,91,0,1,-477,0
28,63,0,1,-469,0
29,95,0,0,457,0
30,21,0,1,439,0
32,84,0,1,477,0
33,60,0,1,429,0
34,60,0,1,404,0
35,66,0,0,-451,0
36,71,0,0,-491,0
37,79,0,0,-465,0
38,19,0,0,412,0
40,28,0,0,-437,0
41,72,0,0,-452,0
42,99,0,1,444,0
43,64,0,1,-461,0
44,5,0,0,-461,0
46,27,0,0,-472,0
47,78,0,0,484,0
48,33,0,0,492,0
1,11,6,0,-440,1
2,96,6,1,-466,1
3,69,6,0,-415,1
4,68,6,0,-480,1
5,64,6,0,-486,1
7,28,6,1,424,1
8,20,6,0,410,1
9,69,6,1,496,1
11,64,6,0,-470,1
12,40,6,1,430,1
13,96,6,1,-480,1
14,93,6,1,-425,1
15,60,6,1,404,1
17,3,6,0,-495,1
18,5,6,0,-498,1
19,46,6,1,404,1
20,37,6,1,479,1
21,72,6,1,464,1
22,72,6,1,436,1
24,1,6,1,450,1
25,35,6,1,424,1
27,61,6,1,432,1
28,47,6,0,-444,1
29,95,6,0,457,1
30,8,6,0,-483,1
32,65,6,1,-427,1
33,91,6,0,432,1
34,47,6,0,454,1
35,6,6,0,-476,1
36,81,6,1,417,1
37,98,6,0,492,1
38,53,6,1,-431,1
40,87,6,1,-432,1
41,60,6,0,-429,1
42,13,6,0,-401,1
43,38,6,1,430,1
44,30,6,0,-436,1
46,14,6,1,464,1
47,9,6,0,-452,1
48,40,6,1,479,1
1,18,6,0,-468,0
2,69,6,0,-499,0
3,4,6,0,-451,0
4,57,6,1,425,0
5,85,6,1,-408,0
7,87,6,0,435,0
8,36,6,0,-488,0
9,33,6,1,-450,0
11,93,6,0,-498,0
12,32,6,0,-410,0
13,48,6,0,429,0
14,79,6,0,442,0
15,21,6,0,-412,0
17,55,6,0,-464,0
18,97,6,0,-433,0
19,42,6,0,-482,0
20,99,6,1,-403,0
21,12,6,1,461,0
22,64,6,1,430,0
24,65,6,1,-450,0
25,56,6,1,-473,0
27,80,6,0,-454,0
28,91,6,0,-464,0
29,15,6,0,-450,0
30,61,6,0,463,0
32,60,6,1,412,0
33,63,6,0,-466,0
34,13,6,1,468,0
35,31,6,1,403,0
36,30,6,1,497,0
37,46,6,0,-440,0
38,80,6,1,422,0
40,46,6,0,464,0
41,7,6,1,410,0
42,69,6,1,-411,0
43,27,6,0,-400,0
44,30,6,1,438,0
46,56,6,0,-499,0
47,83,6,1,432,0
48,54,6,1,492,0
1,82,6,1,-446,1
2,87,6,1,-404,1
3,23,6,1,-483,1
4,99,5,1,-433,1
5,25,6,1,483,1
7,74,6,1,413,1
8,42,0,0,-421,1
9,46,6,1,-413,1
11,6,6,0,-413,1
12,82,0,1,481,1
13,97,6,0,451,1
14,33,2,0,-497,1
15,2,0,1,468,1
17,71,2,0,-499,1
18,76,4,1,460,1
19,44,4,0,-483,1
20,92,4,1,470,1
21,19,6,0,-424,1
22,58,0,1,460,1
24,53,6,0,437,1
25,30,6,1,-443,1
27,53,0,0,-465,1
28,45,0,1,490,1
29,15,6,1,-424,1
30,86,2,0,-453,1
32,84,0,1,495,1
33,44,0,1,418,1
34,67,6,1,-484,1
35,74,0,0,-467,1
36,48,1,0,-439,1
37,57,0,0,-434,1
38,50,3,0,-500,1
40,92,1,1,432,1
41,4,1,1,460,1
42,29,0,1,459,1
43,74,0,0,-404,1
44,91,2,1,418,1
46,82,2,1,445,1
47,72,2,0,416,1
48,58,3,1,-487,1
1,71,0,1,-431,0
2,78,3,0,-414,0
3,13,5,0,-424,0
4,56,5,1,483,0
5,39,6,0,452,0
7,50,3,1,-429,0
8,92,5,0,-490,0
9,2,0,0,-474,0
11,41,2,0,-499,0
12,60,3,1,402,0
13,43,4,0,-418,0
14,80,6,0,417,0
15,31,4,1,463,0
17,41,6,1,497,0
18,45,3,0,-421,0
19,63,4,0,417,0
20,35,6,1,409,0
21,90,6,0,434,0
22,61,6,1,-479,0
24,74,4,0,-413,0
25,28,2,1,473,0
27,89,6,1,-485,0
28,45,5,1,406,0
29,59,5,1,419,0
30,57,4,1,466,0
32,44,5,0,-408,0
33,76,5,0,-500,0
34,35,0,1,499,0
35,83,6,0,471,0
36,88,6,1,438,0
37,86,0,0,-440,0
38,36,0,1,458,0
40,99,6,0,500,0
41,64,6,1,-425,0
42,39,0,1,487,0
43,90,3,1,427,0
44,38,0,0,-445,0
46,98,6,0,437,0
47,84,5,0,-428,0
48,33,0,1,451,0
1,70,6,1,487,1
2,60,6,0,-438,1
3,92,6,1,450,1
4,73,6,0,435,1
5,85,6,0,-473,1
7,7,6,1,449,1
8,63,6,1,409,1
9,41,6,0,-486,1
11,33,6,0,-484,1
12,40,6,0,474,1
13,85,6,0,-475,1
14,84,6,1,428,1
15,76,6,1,485,1
17,95,6,1,-408,1
18,2,6,0,-403,1
19,52,6,0,-402,1
20,72,6,0,-425,1
21,69,6,0,-424,1
22,45,6,1,-406,1
24,93,6,0,-403,1
25,1,6,1,412,1
27,69,6,0,-448,1
28,81,6,1,472,1
29,16,6,0,-458,1
30,75,6,1,430,1
32,88,6,1,-454,1
33,87,6,0,444,1
34,64,6,1,479,1
35,18,6,1,437,1
36,44,6,1,469,1
37,3,6,1,412,1
38,52,6,0,-458,1
40,30,6,1,467,1
41,96,6,0,414,1
42,95,6,0,450,1
43,96,6,0,-476,1
44,19,6,1,414,1
46,62,6,1,429,1
47,38,6,0,-445,1
48,65,6,1,479,1
1,37,6,1,421,0
2,30,6,0,-500,0
3,8,6,1,407,0
4,26,6,0,-432,0
5,6,6,1,447,0
7,21,6,1,461,0
8,70,6,0,447,0
9,1,6,1,488,0
11,3,6,0,-454,0
12,25,6,1,496,0
13,1,6,1,492,0
14,34,6,0,-491,0
15,49,6,1,419,0
17,64,6,0,-497,0
18,22,6,1,440,0
19,68,6,0,-411,0
20,26,6,1,412,0
21,48,6,1,498,0
22,98,6,0,-467,0
24,93,6,1,-465,0
25,17,6,1,487,0
27,23,6,1,464,0
28,17,6,0,-405,0
29,27,6,0,-401,0
30,24,6,1,467,0
32,47,6,1,421,0
33,53,6,0,459,0
34,10,6,1,446,0
35,35,6,1,479,0
36,27,6,1,448,0
37,80,6,0,-469,0
38,72,6,0,-446,0
40,28,6,0,-443,0
41,25,6,1,476,0
42,73,6,0,495,0
43,51,6,1,-434,0
44,96,6,1,-408,0
46,63,6,1,465,0
47,86,6,0,492,0
48,81,6,1,455,0
1,14,6,1,497,1
2,32,6,1,499,1
3,17,6,1,463,1
4,84,6,0,474,1
5,17,6,0,-437,1
7,43,6,1,-411,1
8,50,6,1,483,1
9,23,6,0,-483,1
11,60,6,1,409,1
12,61,6,0,459,1
13,80,6,1,-400,1
14,82,6,1,-423,1
15,79,6,0,-467,1
17,32,6,0,445,1
18,38,6,0,413,1
19,68,6,0,-405,1
20,84,6,1,-412,1
21,50,6,1,442,1
22,9,6,0,-436,1
24,83,6,1,444,1
25,11,6,1,443,1
27,35,6,1,-455,1
28,3,6,1,453,1
29,53,6,1,417,1
30,77,6,0,-482,1
32,16,6,1,421,1
33,2,6,0,-403,1
34,46,6,1,-445,1
35,74,6,1,467,1
36,6,6,0,-492,1
37,83,6,0,-433,1
38,22,6,0,-483,1
40,69,6,1,-448,1
41,1,6,0,-436,1
42,52,6,1,422,1
43,23,6,1,402,1
44,49,6,0,-484,1
46,95,6,1,409,1
47,53,6,1,-470,1
48,49,6,1,429,1
1,70,6,1,-441,0
2,94,6,1,-425,0
3,10,6,1,431,0
4,25,6,0,-404,0
5,31,6,0,-429,0
7,94,6,1,456,0
8,70,6,1,403,0
9,96,6,0,410,0
11,81,6,1,411,0
12,3,6,1,457,0
13,48,6,1,-491,0
14,87,6,0,-416,0
15,79,6,0,-456,0
17,74,6,0,-436,0
18,11,6,0,446,0
19,38,6,0,-426,0
20,38,6,0,-491,0
21,56,6,0,-409,0
22,88,6,0,-457,0
24,82,6,1,426,0
25,10,6,1,443,0
27,48,6,0,482,0
28,1,6,0,-401,0
29,68,6,0,-459,0
30,3,6,1,417,0
32,57,6,0,-404,0
33,22,6,0,-449,0
34,55,6,0,-498,0
35,94,6,1,-442,0
36,31,6,0,-457,0
37,90,6,1,443,0
38,30,6,1,484,0
40,7,6,1,469,0
41,53,6,0,-466,0
42,31,6,1,-441,0
43,94,6,1,474,0
44,50,6,1,459,0
46,54,6,0,-417,0
47,40,6,1,489,0
48,83,6,0,411,0
1,10,6,1,461,1
2,36,6,0,-492,1
3,50,6,1,461,1
4,18,6,0,-411,1
5,37,6,0,-413,1
7,21,6,1,465,1
8,11,6,0,-490,1
9,99,6,1,-459,1
11,3,6,1,448,1
12,81,6,0,406,1
13,95,6,0,-452,1
14,48,6,1,443,1
15,62,6,0,435,1
17,50,6,1,494,1
18,12,6,0,-454,1
19,23,6,0,-415,1
20,43,6,0,-423,1
21,81,6,1,-490,1
22,54,6,1,-490,1
24,50,6,1,-410,1
25,25,6,0,-426,1
27,54,6,0,450,1
28,2,6,0,-455,1
29,46,6,1,-442,1
30,36,6,0,-438,1
32,38,6,0,-428,1
33,98,6,0,-418,1
34,86,6,1,-457,1
35,34,6,0,-465,1
36,46,6,0,-437,1
37,96,6,0,485,1
38,2,6,0,-440,1
40,78,6,1,490,1
41,36,6,0,-439,1
42,61,6,1,-490,1
43,13,6,1,496,1
44,42,6,1,500,1
46,93,6,0,418,1
47,95,6,1,-421,1
48,72,6,0,464,1
1,54,6,0,-423,0
2,26,6,1,407,0
3,91,6,1,415,0
4,39,6,0,435,0
5,46,6,1,409,0
7,39,6,0,-422,0
8,5,6,0,-432,0
9,85,6,0,480,0
11,8,6,1,438,0
12,54,6,1,441,0
13,95,6,1,-433,0
14,58,6,0,-489,0
15,91,6,0,429,0
17,58,6,1,496,0
18,62,6,1,433,0
19,44,6,0,-415,0
20,65,6,0,424,0
21,30,6,1,440,0
22,86,6,1,411,0
24,31,6,0,-445,0
25,23,6,0,408,0
27,88,6,1,481,0
28,35,6,1,-468,0
29,6,6,1,417,0
30,24,6,1,461,0
32,41,6,0,-400,0
33,23,6,0,-498,0
34,50,6,0,-403,0
35,49,6,0,-425,0
36,22,6,0,-462,0
37,68,6,1,444,0
38,96,6,1,-421,0
40,86,6,0,-415,0
41,25,6,1,467,0
42,24,6,1,475,0
43,31,6,0,-470,0
44,19,6,1,-472,0
46,47,6,1,421,0
47,76,6,1,-500,0
48,51,6,1,458,0
1,76,4,0,-442,1
2,5,2,0,-405,1
3,56,5,0,406,1
4,38,3,1,500,1
5,21,2,1,484,1
7,40,5,1,-433,1
8,58,3,1,437,1
9,35,3,0,-474,1
11,68,3,1,471,1
12,44,4,1,426,1
13,6,1,1,474,1
14,40,3,0,-400,1
15,74,5,0,-483,1
17,11,1,1,406,1
18,20,1,1,428,1
19,69,3,0,454,1
20,53,4,1,413,1
21,12,1,1,414,1
22,98,0,1,-434,1
24,20,1,0,-408,1
25,36,3,0,-473,1
