n_trial,uncertainty,seek,mc_model,Instr
28,37,5,401,0
29,37,3,451,0
30,75,2,-429,0
32,24,3,-446,0
33,73,2,-433,0
34,76,2,492,0
35,66,1,-498,0
36,14,0,-429,0
37,65,1,413,0
38,98,0,422,0
40,96,2,-440,0
41,14,3,483,0
42,79,2,-411,0
43,71,3,430,0
44,84,3,405,0
46,36,4,492,0
47,8,1,-421,0
48,34,2,405,0
1,60,2,-441,0
2,50,4,-434,0
3,90,5,-466,0
4,99,5,-497,0
5,2,6,445,0
7,52,4,404,0
8,58,2,-470,0
9,43,5,418,0
11,81,3,481,0
12,76,3,419,0
13,36,0,-458,0
14,2,0,-441,0
15,22,0,-468,0
17,7,6,473,0
18,61,3,416,0
19,23,0,-409,0
20,74,2,464,0
21,22,0,-460,0
22,10,0,-491,0
24,81,2,-438,0
25,85,2,-439,0
27,14,0,-466,0
28,60,5,441,0
29,10,0,-404,0
30,14,6,472,0
32,13,6,473,0
33,16,6,476,0
34,15,6,436,0
35,87,2,-468,0
36,68,3,-477,0
37,16,0,-485,0
38,31,2,-485,0
40,23,0,-446,0
41,23,5,410,0
42,67,2,456,0
43,15,0,-418,0
44,45,1,-435,0
46,41,3,-420,0
47,79,2,491,0
48,38,5,442,0
1,29,0,460,0
2,74,0,-461,0
3,36,0,439,0
4,4,0,424,0
5,42,0,494,0
7,24,0,450,0
8,66,0,-466,0
9,45,0,-468,0
11,93,0,423,0
12,97,0,-432,0
13,74,0,465,0
14,42,0,-474,0
15,65,0,438,0
17,54,0,-474,0
18,61,0,435,0
19,35,0,476,0
20,31,0,420,0
21,25,0,422,0
22,32,0,442,0
24,38,0,-403,0
25,33,0,452,0
27,22,0,425,0
28,74,0,-481,0
29,53,0,-418,0
30,95,0,-424,0
32,70,0,494,0
33,8,0,456,0
34,20,0,-441,0
35,59,0,466,0
36,45,0,429,0
37,51,0,-442,0
38,46,0,414,0
40,51,0,-423,0
41,9,0,-407,0
42,95,0,482,0
43,98,0,-500,0
44,83,0,446,0
46,21,0,-452,0
47,29,0,-428,0
48,12,0,-499,0
1,34,3,500,0
2,8,1,498,0
3,76,4,467,0
4,85,5,-416,0
5,76,5,-429,0
7,78,4,-407,0
8,66,3,-478,0
9,18,2,419,0
11,40,3,436,0
12,63,4,445,0
13,25,2,-461,0
14,24,2,-479,0
15,95,6,-499,0
17,20,2,462,0
18,68,4,482,0
19,24,2,473,0
20,87,5,449,0
21,19,1,449,0
22,27,2,417,0
24,70,4,408,0
25,88,5,481,0
27,39,3,-485,0
28,84,5,447,0
29,25,2,497,0
30,62,4,-488,0
32,71,5,407,0
33,95,6,430,0
34,57,3,480,0
35,62,4,495,0
36,97,6,431,0
37,2,0,-475,0
38,17,1,492,0
40,60,4,401,0
41,77,5,499,0
42,10,1,427,0
43,89,5,413,0
44,86,5,-482,0
46,9,0,436,0
47,75,5,433,0
48,77,5,403,0
1,25,4,-427,0
2,10,6,441,0
3,26,4,-463,0
4,43,3,-470,0
5,3,5,-406,0
7,5,3,-492,0
8,75,0,-441,0
9,24,0,-409,0
11,88,0,447,0
12,63,4,474,0
13,25,3,410,0
14,87,0,-421,0
15,92,0,486,0
17,38,0,-431,0
18,73,0,409,0
19,46,0,405,0
20,15,3,453,0
21,86,3,459,0
22,17,0,424,0
24,94,0,417,0
25,8,3,469,0
27,26,0,-419,0
28,27,0,438,0
29,62,0,427,0
30,62,0,-476,0
32,48,0,479,0
33,46,5,469,0
34,34,0,-490,0
35,41,0,-473,0
36,98,4,408,0
37,31,0,-405,0
38,27,3,-403,0
40,97,0,-455,0
41,56,0,409,0
42,39,0,463,0
43,13,0,474,0
44,29,0,-410,0
46,50,3,-414,0
47,57,4,422,0
48,55,4,418,0
1,94,0,-497,1
2,86,4,-456,1
3,35,6,-456,1
4,83,6,462,1
5,99,6,-479,1
7,4,1,-409,1
8,56,6,493,1
9,38,6,474,1
11,62,6,496,1
12,61,6,-488,1
13,48,6,-412,1
14,98,6,430,1
15,73,6,-430,1
17,66,6,500,1
18,1,0,440,1
19,33,5,-437,1
20,25,4,484,1
21,51,6,-493,1
22,57,6,478,1
24,14,3,-443,1
25,51,6,-427,1
27,34,6,-408,1
28,56,6,-465,1
29,69,6,-461,1
30,35,5,451,1
32,16,3,-482,1
33,56,6,417,1
34,92,6,437,1
35,52,6,412,1
36,18,2,489,1
37,64,6,474,1
38,4,0,-485,1
40,4,0,428,1
41,59,6,425,1
42,25,4,442,1
43,37,5,430,1
44,87,6,-406,1
46,8,1,457,1
47,2,0,-450,1
48,34,6,-424,1
1,10,1,424,1
2,14,1,446,1
3,90,5,-488,1
4,85,6,438,1
5,45,3,404,1
7,46,5,-458,1
8,5,0,484,1
9,24,2,466,1
11,88,5,473,1
12,70,5,-436,1
13,78,5,420,1
14,67,4,-444,1
15,20,2,490,1
17,11,2,413,1
18,62,4,490,1
19,41,3,435,1
20,67,4,-491,1
21,92,6,412,1
22,49,4,-473,1
24,46,4,500,1
25,15,2,449,1
27,46,3,445,1
28,17,2,-412,1
29,65,2,423,1
30,32,2,-416,1
32,54,4,-482,1
33,94,6,-416,1
34,66,5,468,1
35,56,5,467,1
36,23,2,-458,1
37,90,6,434,1
38,94,6,-425,1
40,8,1,450,1
41,3,0,-498,1
42,9,0,-494,1
43,97,6,407,1
44,14,1,-486,1
46,11,1,420,1
47,96,6,475,1
48,48,4,463,1
1,84,1,-411,1
2,92,3,459,1
