n_trial,uncertainty,seek,mc_model,Instr
1,86,6,414,1
2,45,5,490,1
3,77,6,478,1
4,26,4,-406,1
5,10,3,-500,1
7,8,2,-438,1
8,37,5,-465,1
9,21,6,405,1
11,17,4,-437,1
12,40,6,483,1
13,17,6,442,1
14,55,6,457,1
15,56,5,477,1
17,57,5,457,1
18,18,5,413,1
19,24,6,433,1
20,70,6,-480,1
21,8,2,-435,1
22,32,5,487,1
24,88,5,-472,1
25,88,6,404,1
27,68,6,415,1
28,25,5,454,1
29,56,4,-457,1
30,9,2,-477,1
32,40,5,431,1
33,5,4,491,1
34,29,5,451,1
35,73,6,-443,1
36,67,6,-425,1
37,96,6,413,1
38,37,5,444,1
40,35,5,-493,1
41,20,5,498,1
42,62,6,432,1
43,37,5,-433,1
44,61,6,-495,1
46,95,6,-491,1
47,27,5,-409,1
48,68,6,-465,1
1,67,1,455,1
2,39,5,-443,1
3,70,6,415,1
4,30,5,-441,1
5,12,0,-457,1
7,39,4,-445,1
8,57,4,477,1
9,90,6,493,1
11,53,5,-482,1
12,68,5,-458,1
13,47,4,-423,1
14,96,6,403,1
15,71,6,-451,1
17,7,0,-427,1
18,54,4,419,1
19,94,6,-415,1
20,88,6,-436,1
21,49,3,-405,1
22,24,0,490,1
24,29,1,-500,1
25,38,3,-492,1
27,50,2,400,1
28,81,1,497,1
29,75,6,-494,1
30,76,6,-403,1
32,74,0,-497,1
33,63,4,-403,1
34,41,6,423,1
35,45,4,-437,1
36,97,6,481,1
37,64,5,-484,1
38,33,2,415,1
40,94,5,-481,1
41,53,3,499,1
42,55,1,430,1
43,54,2,423,1
44,5,0,-497,1
46,86,5,-400,1
47,89,5,421,1
48,85,5,466,1
1,80,6,418,1
2,11,6,486,1
3,73,6,446,1
4,38,6,414,1
5,30,6,-441,1
7,60,6,-460,1
8,98,6,462,1
9,66,6,-406,1
11,2,6,-440,1
12,32,6,426,1
13,76,6,-493,1
14,41,6,-442,1
15,54,6,-410,1
17,99,6,431,1
18,98,6,-450,1
19,38,6,424,1
20,64,6,-456,1
21,13,6,-437,1
22,71,6,-424,1
24,6,6,-461,1
25,35,6,426,1
27,75,6,-437,1
28,51,6,-467,1
29,49,6,-408,1
30,27,6,498,1
32,45,6,496,1
33,97,6,427,1
34,49,6,-484,1
35,21,6,485,1
36,19,6,-477,1
37,31,6,413,1
38,30,6,500,1
40,7,6,-437,1
41,78,6,-423,1
42,32,6,439,1
43,50,6,-432,1
44,19,6,478,1
46,91,6,-439,1
47,12,6,445,1
48,17,6,425,1
1,32,6,418,1
2,27,6,476,1
3,61,6,-422,1
4,86,6,-419,1
5,32,6,449,1
7,1,4,458,1
8,59,6,-438,1
9,76,6,413,1
11,93,6,-474,1
12,63,6,-437,1
13,88,6,413,1
14,22,6,-400,1
15,79,6,-469,1
17,69,6,450,1
18,33,6,490,1
19,56,6,-476,1
20,38,6,-413,1
21,24,6,-449,1
22,20,6,-403,1
24,48,6,-468,1
25,71,6,-450,1
27,24,6,455,1
28,70,6,-494,1
29,75,6,-469,1
30,29,6,-400,1
32,97,6,-475,1
33,81,6,-463,1
34,78,6,498,1
35,3,6,-424,1
36,25,6,494,1
37,75,6,472,1
38,21,6,491,1
40,55,6,-476,1
41,44,6,-496,1
42,16,6,-474,1
43,95,6,405,1
44,3,6,476,1
46,51,6,412,1
47,49,6,-468,1
48,90,6,-448,1
1,66,6,449,1
2,98,4,-440,1
3,98,6,-438,1
4,69,6,-471,1
5,10,6,-436,1
7,18,6,463,1
8,24,6,-445,1
9,1,6,405,1
11,82,6,-451,1
12,93,6,-450,1
13,86,6,-474,1
14,51,6,-491,1
15,84,6,-440,1
17,26,6,-416,1
18,96,6,-455,1
19,6,6,-491,1
20,96,6,404,1
21,26,6,-430,1
22,66,6,-471,1
24,59,6,422,1
25,7,6,426,1
27,1,6,-403,1
28,77,6,-429,1
29,60,6,473,1
30,57,6,478,1
32,43,6,441,1
33,19,6,434,1
34,6,6,-472,1
35,65,6,-460,1
36,6,6,485,1
37,53,6,497,1
38,24,6,-415,1
40,87,6,407,1
41,55,6,-462,1
42,88,6,447,1
43,32,6,-467,1
44,22,6,-456,1
46,80,6,-490,1
47,42,6,452,1
48,33,6,409,1
1,65,4,-500,1
2,24,5,403,1
3,71,2,-435,1
4,11,4,-464,1
5,95,3,-490,1
7,21,5,-490,1
8,67,5,458,1
9,2,5,-488,1
11,66,5,463,1
12,60,3,-494,1
13,10,6,496,1
14,51,3,-407,1
15,16,5,474,1
17,98,3,486,1
18,47,2,-455,1
19,12,4,-420,1
20,17,4,406,1
21,59,3,-457,1
22,37,4,-448,1
24,86,2,-454,1
25,27,4,461,1
27,74,4,410,1
28,55,4,414,1
29,24,3,-476,1
30,39,3,-441,1
32,85,4,498,1
33,10,5,-450,1
34,9,4,459,1
35,59,3,450,1
36,97,2,-447,1
37,7,4,-498,1
38,69,3,406,1
40,62,4,495,1
41,66,2,-448,1
42,94,4,-478,1
43,17,3,-402,1
44,59,4,487,1
46,49,3,-420,1
47,20,5,-439,1
48,63,3,496,1
1,80,5,-418,1
2,71,6,-475,1
3,18,2,437,1
4,38,6,-426,1
5,4,6,-495,1
7,52,5,-466,1
8,87,4,423,1
9,77,5,419,1
11,51,4,402,1
12,56,5,-404,1
13,39,4,-442,1
14,66,5,469,1
15,34,3,462,1
17,86,6,480,1
18,68,4,-460,1
19,22,5,-451,1
20,43,5,-420,1
21,6,3,441,1
22,92,6,406,1
24,80,3,403,1
25,16,4,-423,1
27,25,3,-477,1
28,95,2,-422,1
29,50,6,444,1
30,84,3,431,1
32,58,4,435,1
33,40,5,-431,1
34,74,5,-442,1
35,4,2,496,1
36,78,4,462,1
37,57,3,481,1
38,20,2,-489,1
40,58,3,436,1
41,72,5,-410,1
42,19,3,487,1
43,40,3,-453,1
44,44,4,447,1
46,2,1,420,1
47,49,4,470,1
48,88,5,-467,1
1,77,1,-486,1
2,8,6,420,1
3,64,2,454,1
4,46,3,-413,1
5,60,1,408,1
7,7,6,434,1
8,36,4,-441,1
9,85,0,-465,1
11,81,1,456,1
12,15,6,467,1
13,45,2,-441,1
14,96,0,446,1
15,27,4,-439,1
17,78,2,-410,1
18,11,5,454,1
19,43,4,476,1
20,99,0,489,1
21,25,3,-430,1
22,68,3,-427,1
24,12,5,-434,1
25,75,2,420,1
27,82,3,-478,1
28,74,2,452,1
29,34,3,482,1
30,31,3,-488,1
32,59,1,-465,1
33,2,6,-490,1
34,49,3,497,1
35,14,5,-447,1
36,52,2,-474,1
37,59,3,-429,1
38,33,4,448,1
40,65,2,414,1
41,32,4,402,1
42,9,5,-443,1
43,57,2,-493,1
44,52,2,431,1
46,67,2,-460,1
47,87,2,-411,1
48,82,2,441,1
1,52,6,488,1
2,45,6,420,1
3,53,6,484,1
4,99,6,-410,1
5,70,6,469,1
7,74,6,457,1
8,72,6,-460,1
9,38,6,-450,1
11,80,6,486,1
12,67,6,-450,1
13,53,6,-453,1
14,37,6,471,1
15,76,6,-500,1
17,46,6,490,1
18,20,6,-491,1
19,67,6,458,1
20,3,6,-414,1
21,32,6,473,1
22,60,6,429,1
24,33,6,-481,1
25,42,6,-439,1
27,79,6,-480,1
28,33,6,410,1
29,46,6,-499,1
30,86,6,405,1
32,83,6,-457,1
33,83,6,-488,1
34,66,6,-475,1
35,11,6,465,1
36,64,6,414,1
37,49,6,-433,1
38,14,6,460,1
40,62,6,454,1
41,43,6,-447,1
42,22,6,466,1
43,70,6,-401,1
44,19,6,409,1
46,41,6,-475,1
47,95,6,-490,1
48,35,6,487,1
1,70,6,447,1
2,25,6,483,1
3,2,6,415,1
4,39,6,-416,1
5,73,6,-431,1
7,12,6,-440,1
8,76,6,-422,1
9,23,6,-465,1
11,62,6,-462,1
12,28,6,422,1
13,15,6,-493,1
14,97,6,-487,1
15,40,6,-443,1
17,43,6,480,1
18,63,6,488,1
19,11,6,-481,1
20,14,6,413,1
21,88,6,432,1
22,91,6,479,1
24,22,6,479,1
25,46,6,-448,1
27,99,6,464,1
28,54,6,416,1
29,42,6,-449,1
30,40,6,-412,1
32,96,6,-441,1
33,97,6,436,1
34,41,6,481,1
35,14,6,492,1
36,46,6,-433,1
37,51,6,-401,1
38,25,6,408,1
40,28,6,-478,1
41,41,6,489,1
42,94,6,-416,1
43,81,6,432,1
44,74,6,449,1
46,51,6,-473,1
47,58,6,-440,1
48,7,6,474,1
1,88,6,484,1
2,71,6,431,1
3,33,6,488,1
4,63,6,470,1
5,96,6,464,1
7,85,6,-425,1
8,12,6,-432,1
9,12,6,-467,1
11,3,6,-490,1
12,10,6,482,1
13,71,6,492,1
14,91,6,-448,1
15,84,6,497,1
17,11,6,458,1
18,42,6,-440,1
19,21,6,489,1
20,15,6,405,1
21,30,6,408,1
22,17,6,479,1
24,96,6,-486,1
25,1,6,423,1
27,63,6,410,1
28,57,6,-485,1
29,35,6,460,1
30,1,6,429,1
32,69,6,-441,1
33,56,6,468,1
34,22,6,407,1
35,86,6,-457,1
36,93,6,-469,1
37,11,6,409,1
38,52,6,-450,1
40,38,6,-453,1
41,20,6,475,1
42,15,6,495,1
43,80,6,-425,1
44,35,6,476,1
46,79,6,-479,1
47,42,6,498,1
48,30,6,483,1
1,55,6,-500,1
2,39,0,-461,1
3,86,6,464,1
4,66,6,-433,1
5,40,6,-439,1
7,3,6,472,1
8,3,6,474,1
9,67,6,499,1
11,34,6,472,1
12,71,5,500,1
13,65,5,484,1
14,72,5,475,1
15,42,4,-454,1
17,60,4,492,1
18,27,5,-412,1
19,73,5,461,1
20,16,5,-406,1
21,31,5,-474,1
22,4,6,-413,1
24,68,5,-476,1
25,89,6,-491,1
27,47,6,421,1
28,8,6,436,1
29,46,6,434,1
30,59,6,-454,1
32,40,6,-472,1
33,97,6,-465,1
34,77,6,437,1
35,9,6,442,1
36,38,6,434,1
37,62,6,498,1
38,71,6,408,1
40,18,6,434,1
41,20,6,432,1
42,86,6,-449,1
43,79,6,493,1
44,16,6,498,1
46,4,6,465,1
47,6,6,-428,1
48,70,6,-474,1
1,59,6,410,1
2,51,5,476,1
3,22,5,467,1
4,75,6,409,1
5,29,5,-463,1
7,40,4,433,1
8,6,5,-459,1
9,68,6,434,1
11,88,6,428,1
12,22,5,-465,1
13,57,6,-468,1
14,84,6,434,1
15,59,5,-457,1
17,31,5,465,1
18,21,5,-454,1
19,26,5,-469,1
20,87,5,479,1
21,70,6,481,1
22,16,4,443,1
24,95,6,-402,1
25,91,6,-498,1
27,32,5,-493,1
28,41,5,492,1
29,81,6,446,1
30,31,5,-443,1
32,35,4,400,1
33,6,4,-415,1
34,11,5,-438,1
35,67,6,447,1
36,8,4,486,1
37,53,6,499,1
38,9,4,493,1
40,6,5,492,1
41,35,6,-490,1
42,87,6,-492,1
43,37,6,467,1
44,43,5,478,1
46,91,6,412,1
47,9,6,-433,1
48,51,6,-405,1
1,71,6,-500,1
2,64,3,-499,1
3,98,6,428,1
4,50,6,-475,1
5,57,5,-429,1
7,50,6,-418,1
8,98,6,447,1
9,45,6,484,1
11,18,4,456,1
12,77,6,424,1
13,88,6,-423,1
14,55,6,467,1
15,99,6,480,1
17,23,2,-495,1
18,94,6,450,1
19,87,6,486,1
20,89,6,471,1
21,66,6,446,1
22,66,5,444,1
24,66,6,-487,1
25,25,3,-457,1
27,88,6,-484,1
28,20,1,-431,1
29,98,6,454,1
30,79,6,484,1
32,73,6,494,1
33,39,6,-414,1
34,43,6,-402,1
35,39,5,434,1
36,43,6,-482,1
37,35,4,-419,1
38,80,6,465,1
40,68,6,-495,1
41,23,3,-465,1
42,46,6,451,1
43,16,2,465,1
44,3,1,-442,1
46,72,6,-498,1
47,79,6,445,1
48,85,6,-442,1
1,12,5,-431,1
2,53,5,455,1
3,63,6,-414,1
4,91,6,469,1
5,38,6,-432,1
7,13,6,-421,1
8,75,6,494,1
9,37,6,-420,1
11,51,6,-467,1
12,31,6,-425,1
13,70,6,-429,1
14,72,6,413,1
15,94,6,-415,1
17,85,6,423,1
18,47,6,413,1
19,26,6,-430,1
20,81,6,401,1
21,27,6,424,1
22,44,6,-495,1
24,35,6,472,1
25,77,6,-414,1
27,60,6,407,1
28,95,6,411,1
29,35,6,-481,1
30,35,6,-475,1
32,25,6,441,1
33,12,6,-481,1
34,86,6,-422,1
35,51,6,-473,1
36,40,6,-410,1
37,88,6,-413,1
38,24,6,-463,1
40,92,6,-454,1
41,90,6,454,1
42,16,6,-451,1
43,48,6,-482,1
44,51,6,-459,1
46,19,6,467,1
47,22,6,-440,1
48,48,6,-435,1
1,48,2,-436,1
2,48,6,-400,1
3,24,6,-418,1
4,29,4,418,1
5,6,4,463,1
7,80,6,-457,1
8,8,6,446,1
9,18,6,450,1
11,41,6,415,1
12,18,6,-445,1
13,33,6,416,1
14,39,5,487,1
15,33,6,-405,1
17,83,6,460,1
18,2,6,-432,1
19,94,6,-479,1
20,52,6,448,1
21,55,6,434,1
22,41,6,-493,1
24,71,6,481,1
25,35,6,-482,1
27,4,6,424,1
28,57,6,-489,1
29,62,6,479,1
30,67,6,-427,1
32,37,6,407,1
33,1,6,-491,1
34,10,6,484,1
35,7,6,-456,1
36,72,6,443,1
37,88,6,437,1
38,76,6,-418,1
40,64,6,488,1
41,43,6,494,1
42,75,6,485,1
43,21,6,421,1
44,18,6,-482,1
46,96,6,458,1
47,9,6,425,1
48,25,6,443,1
1,93,1,-453,1
2,68,4,445,1
3,16,0,-494,1
4,77,0,-476,1
5,64,3,411,1
7,63,1,-457,1
8,18,2,-483,1
9,37,3,-409,1
11,88,2,433,1
12,28,3,422,1
13,79,3,-443,1
14,67,4,452,1
15,94,2,-416,1
17,13,2,469,1
18,31,2,459,1
19,19,4,-442,1
20,85,3,456,1
21,20,0,472,1
22,3,0,-404,1
24,29,3,417,1
25,77,3,-417,1
27,70,3,-407,1
28,37,3,417,1
29,36,3,-426,1
30,24,3,-495,1
32,29,3,411,1
33,5,0,427,1
34,47,3,-458,1
35,57,0,496,1
36,18,0,471,1
37,56,3,-418,1
38,29,3,432,1
40,66,3,400,1
41,37,3,-438,1
42,40,3,500,1
43,84,3,-438,1
44,97,6,-424,1
46,59,3,-495,1
47,91,6,-420,1
48,24,3,462,1
1,8,3,494,1
2,17,2,410,1
3,39,1,-499,1
4,82,6,416,1
5,40,0,448,1
7,16,0,465,1
8,12,6,489,1
9,80,0,452,1
11,96,0,-427,1
12,80,0,448,1
13,62,1,493,1
14,93,2,-477,1
15,73,0,-476,1
17,2,0,-434,1
18,47,0,-459,1
19,85,6,463,1
20,36,6,490,1
21,85,0,424,1
22,95,0,-434,1
24,30,0,481,1
25,14,0,-472,1
27,66,0,442,1
28,92,1,451,1
29,81,0,488,1
30,73,0,-434,1
32,47,0,-473,1
33,46,0,481,1
34,37,0,-415,1
35,64,3,419,1
36,14,0,497,1
37,94,0,473,1
38,27,0,487,1
40,53,1,-471,1
41,20,0,494,1
42,20,0,481,1
43,43,0,434,1
44,25,0,406,1
46,79,0,421,1
47,82,0,487,1
48,88,0,-479,1
1,29,5,-492,1
2,68,2,-424,1
3,78,1,-458,1
4,48,4,-445,1
5,97,0,-446,1
7,30,6,458,1
8,55,6,-433,1
9,10,6,-470,1
11,85,6,-448,1
12,13,6,423,1
13,36,6,-500,1
14,47,6,441,1
15,30,6,444,1
17,85,6,-456,1
18,35,6,-423,1
19,81,2,484,1
20,19,6,-494,1
21,40,6,-439,1
22,37,6,-440,1
24,41,3,-423,1
25,17,6,433,1
27,51,5,-405,1
28,72,6,416,1
29,62,6,480,1
30,71,6,466,1
32,91,6,-459,1
33,96,6,-465,1
34,71,6,403,1
35,18,6,-452,1
36,92,6,439,1
37,50,6,-426,1
38,96,6,-485,1
40,95,6,-477,1
41,96,6,477,1
42,75,6,481,1
43,96,6,-436,1
44,47,6,482,1
46,83,6,-424,1
47,75,6,414,1
48,30,6,498,1
1,61,5,-500,1
2,62,5,-425,1
3,44,5,-438,1
4,88,5,-444,1
5,84,6,-404,1
7,57,6,410,1
8,18,3,-417,1
9,29,5,-436,1
11,54,6,472,1
12,87,5,440,1
13,34,5,-428,1
14,90,6,476,1
15,29,6,-402,1
17,89,6,424,1
18,52,6,-479,1
19,51,6,-418,1
20,21,6,434,1
21,98,6,431,1
22,62,6,-488,1
24,39,4,436,1
25,14,3,-427,1
27,12,4,433,1
28,95,6,-431,1
29,78,5,-459,1
30,21,5,-497,1
32,35,5,-477,1
33,35,5,421,1
34,24,4,488,1
35,78,5,456,1
36,50,6,449,1
37,37,5,-484,1
38,92,6,497,1
40,20,5,-433,1
41,79,5,-483,1
42,47,5,422,1
43,38,6,-491,1
44,28,6,494,1
46,57,5,455,1
47,69,5,-431,1
48,22,6,448,1
1,36,5,-487,1
2,75,6,-438,1
3,92,6,-480,1
4,4,6,-447,1
5,10,6,412,1
7,98,6,-469,1
8,22,6,-422,1
9,57,5,-413,1
11,39,6,-471,1
12,21,6,499,1
13,51,6,-482,1
14,14,6,424,1
15,60,6,-455,1
17,56,6,-401,1
18,75,6,-452,1
19,81,6,-422,1
20,26,6,472,1
21,45,6,423,1
22,35,6,-430,1
24,50,6,403,1
25,23,6,434,1
27,50,6,479,1
28,68,5,-426,1
29,74,6,-435,1
30,8,6,-498,1
32,89,6,-476,1
33,8,6,-462,1
34,43,5,-495,1
35,10,5,-476,1
36,92,6,-474,1
37,87,6,479,1
38,38,6,-490,1
40,35,6,427,1
41,37,5,-426,1
42,23,5,-455,1
43,25,6,-467,1
44,20,6,-439,1
46,52,6,411,1
47,73,6,419,1
48,82,6,-491,1
1,1,0,419,1
2,58,6,-421,1
3,99,0,499,1
4,38,6,421,1
5,66,6,-497,1
7,63,6,-470,1
8,55,6,413,1
9,23,6,-403,1
11,77,6,-442,1
12,92,6,-418,1
13,93,6,-474,1
14,31,6,-447,1
15,22,6,490,1
17,2,0,-467,1
18,80,6,-500,1
19,24,6,431,1
20,92,6,494,1
21,66,6,-419,1
22,40,6,414,1
24,24,6,-479,1
25,48,6,-415,1
27,64,6,412,1
28,97,6,-471,1
29,41,6,420,1
30,69,6,416,1
32,79,5,-463,1
33,66,6,-490,1
34,55,6,-434,1
35,24,1,-432,1
36,88,4,401,1
37,95,6,452,1
38,68,6,410,1
40,22,4,441,1
41,72,6,481,1
42,33,6,458,1
43,63,6,444,1
44,23,6,443,1
46,62,5,-488,1
47,43,5,415,1
48,59,6,-456,1
1,94,0,434,1
2,26,5,472,1
3,99,5,-454,1
4,67,3,409,1
5,93,4,-463,1
7,72,4,-410,1
8,36,4,-477,1
9,21,4,-494,1
11,38,3,-417,1
12,7,5,-400,1
13,96,6,-490,1
14,79,4,487,1
15,62,3,-496,1
17,38,5,-418,1
18,76,4,424,1
19,59,3,-442,1
20,70,4,436,1
21,84,6,-500,1
22,52,3,-458,1
24,80,4,-471,1
25,47,3,455,1
27,60,4,463,1
28,1,0,406,1
29,49,3,406,1
30,41,4,474,1
32,80,3,-407,1
33,89,5,-498,1
34,33,5,-490,1
35,92,6,-492,1
36,85,5,408,1
37,30,2,473,1
38,2,0,-474,1
40,81,5,487,1
41,8,1,-474,1
42,40,4,493,1
43,55,3,406,1
44,59,4,-463,1
46,76,5,493,1
47,28,4,456,1
48,91,6,-403,1
1,70,6,-401,1
2,12,0,425,1
3,1,0,-434,1
4,63,6,469,1
5,68,6,441,1
7,8,0,-447,1
8,75,6,449,1
9,77,6,-464,1
11,5,6,440,1
12,15,6,416,1
13,40,6,425,1
14,64,6,406,1
15,6,6,-456,1
17,29,6,427,1
18,4,6,410,1
19,18,6,488,1
20,69,6,419,1
21,78,6,-409,1
22,72,6,-431,1
24,69,6,-485,1
25,19,6,-412,1
27,3,6,-464,1
28,24,6,447,1
29,28,6,486,1
30,84,6,-463,1
32,31,6,-410,1
33,23,6,441,1
34,7,6,498,1
35,53,6,444,1
36,89,6,-483,1
37,44,6,-427,1
38,80,6,-434,1
40,7,6,410,1
41,53,6,-444,1
42,91,6,427,1
43,75,6,-484,1
44,57,6,416,1
46,33,6,-458,1
47,79,6,-410,1
48,92,6,442,1
1,31,5,-481,1
2,95,5,482,1
3,72,6,-486,1
4,31,4,-424,1
5,23,4,435,1
7,24,3,493,1
8,92,6,-438,1
9,96,6,-407,1
11,67,6,-429,1
12,3,2,417,1
13,44,4,-482,1
14,27,2,417,1
15,71,6,447,1
17,13,5,463,1
18,55,5,476,1
19,51,6,-495,1
20,42,4,414,1
21,70,6,455,1
22,31,4,-492,1
24,32,4,489,1
25,80,6,-498,1
27,45,6,499,1
28,62,6,-438,1
29,71,6,-500,1
30,42,5,-464,1
32,4,5,-437,1
33,73,6,-441,1
34,9,2,-482,1
35,8,2,-445,1
36,20,4,480,1
37,81,6,-481,1
38,3,2,-455,1
40,48,5,491,1
41,50,5,-438,1
42,59,5,400,1
43,68,6,467,1
44,81,6,-472,1
46,27,4,456,1
47,7,2,-472,1
48,96,6,405,1
1,68,6,419,1
2,51,6,430,1
3,14,6,-442,1
4,97,6,413,1
5,59,6,461,1
7,9,6,410,1
8,79,6,-459,1
9,81,6,-499,1
11,63,6,484,1
12,60,6,-500,1
13,22,5,426,1
14,76,6,475,1
15,40,6,-490,1
17,56,6,488,1
18,25,5,441,1
19,5,6,-441,1
20,19,6,-467,1
21,10,6,-438,1
22,63,6,419,1
24,73,6,-413,1
25,79,6,478,1
27,33,6,-426,1
28,92,6,-490,1
29,97,6,-444,1
30,48,6,-457,1
32,94,6,-464,1
33,38,6,412,1
34,94,6,-438,1
35,95,6,468,1
36,51,6,495,1
37,61,6,407,1
38,21,5,-496,1
40,22,6,-485,1
41,70,6,442,1
42,78,6,-463,1
43,50,6,432,1
44,70,6,480,1
46,5,6,403,1
47,33,6,496,1
48,99,6,410,1
1,49,6,-400,1
2,54,6,469,1
3,1,0,442,1
4,58,6,-490,1
5,95,6,-415,1
7,13,6,492,1
8,87,6,-457,1
9,83,6,454,1
11,69,6,-408,1
12,73,6,479,1
13,62,6,448,1
14,31,6,467,1
15,62,6,421,1
17,36,6,-446,1
18,13,6,-411,1
19,42,6,461,1
20,26,6,-417,1
21,54,6,-406,1
22,76,6,-413,1
24,43,6,456,1
25,70,6,417,1
27,48,6,448,1
28,63,6,-417,1
29,12,6,-439,1
30,17,6,-462,1
32,40,6,481,1
33,71,6,-412,1
34,50,6,-472,1
35,14,6,471,1
36,12,6,465,1
37,21,6,-443,1
38,76,6,483,1
40,50,6,-405,1
41,82,6,-500,1
42,70,6,467,1
43,90,6,-446,1
44,79,6,455,1
46,32,6,413,1
47,69,6,-430,1
48,92,6,431,1
1,1,0,431,1
2,31,4,473,1
3,58,4,-413,1
4,86,6,-472,1
5,77,5,-466,1
7,8,0,-481,1
8,43,4,-466,1
9,14,1,-463,1
11,56,5,432,1
12,62,5,489,1
13,76,6,-464,1
14,35,4,495,1
15,20,1,432,1
17,13,1,-442,1
18,27,2,413,1
19,42,4,432,1
20,91,6,418,1
21,59,4,410,1
22,84,6,432,1
24,9,0,-490,1
25,48,4,423,1
27,1,0,-492,1
28,34,4,-437,1
29,11,1,-410,1
30,64,5,439,1
32,9,1,-409,1
33,46,4,-480,1
34,81,6,421,1
35,78,6,-407,1
36,40,4,-489,1
37,14,1,444,1
38,67,5,-441,1
40,10,0,437,1
41,56,4,462,1
42,57,4,-421,1
43,18,1,413,1
44,94,6,-401,1
46,92,6,-495,1
47,32,4,-467,1
48,2,0,454,1
1,84,5,-494,1
2,76,5,-425,1
3,92,5,453,1
4,52,6,478,1
5,28,5,-447,1
7,66,5,-442,1
8,77,5,-410,1
9,34,6,440,1
11,83,4,-476,1
12,81,5,-426,1
13,64,6,417,1
14,50,6,-426,1
15,1,6,401,1
17,51,6,457,1
18,69,5,-499,1
19,14,6,420,1
20,72,5,406,1
21,84,5,472,1
22,7,6,500,1
24,48,6,429,1
25,97,6,451,1
27,26,6,433,1
28,40,6,488,1
29,82,5,-438,1
30,97,5,-463,1
32,10,5,-457,1
33,13,5,-459,1
34,98,5,-444,1
35,22,6,-402,1
36,4,5,-402,1
37,2,6,447,1
38,26,6,489,1
40,86,5,-411,1
41,50,6,440,1
42,4,5,-495,1
43,95,6,450,1
44,24,6,-452,1
46,74,5,459,1
47,95,4,-415,1
48,78,6,484,1
1,81,2,-480,1
2,8,4,441,1
3,3,3,434,1
4,62,2,-438,1
5,62,2,445,1
7,88,2,401,1
8,86,2,-490,1
9,99,3,-401,1
11,27,2,-422,1
12,92,1,-400,1
13,5,2,-427,1
14,40,4,444,1
15,23,2,-460,1
17,2,4,401,1
18,41,3,486,1
19,3,3,-400,1
20,71,3,-445,1
21,21,3,-429,1
22,35,3,492,1
24,72,2,478,1
25,79,2,-426,1
27,16,3,-440,1
28,25,3,400,1
29,56,3,400,1
30,83,2,-491,1
32,10,4,497,1
33,67,2,409,1
34,91,3,-433,1
35,59,2,448,1
36,51,3,490,1
37,51,3,-436,1
38,4,5,500,1
40,83,2,-411,1
41,15,3,-464,1
42,8,2,-410,1
43,66,2,432,1
44,63,2,-461,1
46,62,3,456,1
47,51,3,478,1
48,31,4,448,1
1,89,6,-425,1
2,75,6,431,1
3,83,6,412,1
4,44,6,-436,1
5,31,6,-432,1
7,28,6,-417,1
8,18,6,415,1
9,90,6,-492,1
11,28,6,-491,1
12,75,6,-464,1
13,57,6,465,1
14,86,6,-428,1
15,95,6,470,1
17,52,6,417,1
18,40,6,-447,1
19,36,6,455,1
20,45,6,460,1
21,12,6,423,1
22,24,6,-465,1
24,91,6,406,1
25,57,6,452,1
27,77,6,-472,1
28,67,6,-472,1
29,59,6,460,1
30,67,6,451,1
32,55,6,-482,1
33,66,6,445,1
34,11,6,480,1
35,84,6,487,1
36,79,6,427,1
37,62,6,481,1
38,59,6,445,1
40,11,6,-440,1
41,97,6,-458,1
42,51,6,-410,1
43,81,6,-468,1
44,60,6,419,1
46,72,6,498,1
47,65,6,-401,1
48,80,6,-500,1
1,10,6,-464,1
2,85,6,-443,1
3,67,6,-437,1
4,77,6,-466,1
5,25,6,426,1
7,28,6,401,1
8,73,6,499,1
9,52,6,457,1
11,96,6,-457,1
12,74,6,-410,1
13,40,6,400,1
14,70,6,-474,1
15,20,6,-443,1
17,7,6,498,1
18,92,6,449,1
19,76,6,424,1
20,85,6,410,1
21,49,6,431,1
22,72,6,-407,1
24,34,6,-466,1
25,1,6,430,1
27,81,6,407,1
28,39,6,-448,1
29,95,6,404,1
30,72,6,-421,1
32,84,6,461,1
33,63,6,473,1
34,53,6,473,1
35,16,6,-462,1
36,84,6,491,1
37,50,6,-423,1
38,67,6,431,1
40,93,6,-403,1
41,27,6,-454,1
42,69,6,492,1
43,82,6,-442,1
44,42,6,461,1
46,68,6,434,1
47,93,6,465,1
48,18,6,458,1
1,42,6,424,1
2,21,5,-435,1
3,72,6,-463,1
4,84,6,422,1
5,49,6,491,1
7,68,6,491,1
8,90,6,-488,1
9,70,5,471,1
11,59,5,-425,1
12,92,6,426,1
13,84,6,-429,1
14,68,6,-433,1
15,71,6,464,1
17,47,6,-403,1
18,83,6,-498,1
19,2,0,-404,1
20,61,5,415,1
21,67,6,-486,1
22,38,5,-435,1
24,16,1,-436,1
25,35,5,-445,1
27,28,2,-495,1
28,76,5,-412,1
29,62,5,444,1
30,83,2,-475,1
32,99,6,-429,1
33,37,5,-400,1
34,85,5,-400,1
35,97,6,423,1
36,82,5,-467,1
37,80,5,-410,1
38,37,5,468,1
40,54,6,-404,1
41,62,6,423,1
42,68,5,-452,1
43,92,1,424,1
44,59,6,438,1
46,18,0,-426,1
47,43,5,485,1
48,88,5,403,1
1,40,6,-417,1
2,24,6,-494,1
3,74,6,-489,1
4,33,6,-484,1
5,23,6,460,1
7,8,6,-459,1
8,98,6,468,1
9,33,6,-450,1
11,90,6,414,1
