n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
2,75,6,1,401,1,1,4,558e734efdf99b3a5619b5d5
3,75,6,1,485,1,1,4,558e734efdf99b3a5619b5d5
4,40,6,0,-465,1,1,4,558e734efdf99b3a5619b5d5
5,41,6,0,-500,1,1,4,558e734efdf99b3a5619b5d5
7,20,6,1,402,1,1,4,558e734efdf99b3a5619b5d5
8,46,6,1,473,1,1,4,558e734efdf99b3a5619b5d5
9,78,6,0,-444,1,1,4,558e734efdf99b3a5619b5d5
11,28,6,1,478,1,1,4,558e734efdf99b3a5619b5d5
12,60,6,1,498,1,1,4,558e734efdf99b3a5619b5d5
13,52,6,0,-486,1,1,4,558e734efdf99b3a5619b5d5
14,18,6,1,412,1,1,4,558e734efdf99b3a5619b5d5
15,21,6,1,464,1,1,4,558e734efdf99b3a5619b5d5
17,40,6,0,-477,1,1,4,558e734efdf99b3a5619b5d5
18,20,6,0,-482,1,1,4,558e734efdf99b3a5619b5d5
19,11,6,0,-412,1,1,4,558e734efdf99b3a5619b5d5
20,79,6,0,-463,1,1,4,558e734efdf99b3a5619b5d5
21,94,6,0,-487,1,1,4,558e734efdf99b3a5619b5d5
22,72,6,1,467,1,1,4,558e734efdf99b3a5619b5d5
24,89,6,0,-438,1,1,4,558e734efdf99b3a5619b5d5
25,74,6,1,431,1,1,4,558e734efdf99b3a5619b5d5
27,62,6,1,432,1,1,4,558e734efdf99b3a5619b5d5
28,84,6,1,463,1,1,4,558e734efdf99b3a5619b5d5
29,39,6,1,448,1,1,4,558e734efdf99b3a5619b5d5
30,93,6,1,463,1,1,4,558e734efdf99b3a5619b5d5
32,33,6,1,433,1,1,4,558e734efdf99b3a5619b5d5
33,23,6,0,-448,1,1,4,558e734efdf99b3a5619b5d5
34,59,6,0,-429,1,1,4,558e734efdf99b3a5619b5d5
35,15,6,0,-428,1,1,4,558e734efdf99b3a5619b5d5
36,62,6,0,-428,1,1,4,558e734efdf99b3a5619b5d5
37,90,6,0,-452,1,1,4,558e734efdf99b3a5619b5d5
38,89,6,1,436,1,1,4,558e734efdf99b3a5619b5d5
40,85,6,0,-402,1,1,4,558e734efdf99b3a5619b5d5
41,66,6,0,-479,1,1,4,558e734efdf99b3a5619b5d5
42,32,6,0,-479,1,1,4,558e734efdf99b3a5619b5d5
43,64,6,1,472,1,1,4,558e734efdf99b3a5619b5d5
44,24,6,1,491,1,1,4,558e734efdf99b3a5619b5d5
46,58,6,0,-425,1,1,4,558e734efdf99b3a5619b5d5
47,69,6,1,476,1,1,4,558e734efdf99b3a5619b5d5
48,99,6,0,-402,1,1,4,558e734efdf99b3a5619b5d5
1,42,6,0,-500,0,1,4,562a00dac8ffc20012513fbe
2,96,6,1,449,0,1,4,562a00dac8ffc20012513fbe
3,54,6,0,-400,0,1,4,562a00dac8ffc20012513fbe
4,37,6,0,-401,0,1,4,562a00dac8ffc20012513fbe
5,69,6,1,404,0,1,4,562a00dac8ffc20012513fbe
7,39,5,1,409,0,1,4,562a00dac8ffc20012513fbe
8,94,6,1,481,0,1,4,562a00dac8ffc20012513fbe
9,33,5,1,408,0,1,4,562a00dac8ffc20012513fbe
11,19,6,0,-454,0,1,4,562a00dac8ffc20012513fbe
12,75,6,1,401,0,1,4,562a00dac8ffc20012513fbe
13,65,4,1,453,0,1,4,562a00dac8ffc20012513fbe
14,64,4,0,-410,0,1,4,562a00dac8ffc20012513fbe
15,67,6,1,409,0,1,4,562a00dac8ffc20012513fbe
17,48,6,1,444,0,1,4,562a00dac8ffc20012513fbe
18,65,4,1,428,0,1,4,562a00dac8ffc20012513fbe
19,9,5,0,-411,0,1,4,562a00dac8ffc20012513fbe
20,97,6,1,479,0,1,4,562a00dac8ffc20012513fbe
21,45,4,0,-420,0,1,4,562a00dac8ffc20012513fbe
22,17,4,0,-475,0,1,4,562a00dac8ffc20012513fbe
24,27,3,0,-459,0,1,4,562a00dac8ffc20012513fbe
25,30,6,1,489,0,1,4,562a00dac8ffc20012513fbe
27,75,5,0,-421,0,1,4,562a00dac8ffc20012513fbe
28,86,6,0,-500,0,1,4,562a00dac8ffc20012513fbe
29,73,6,1,442,0,1,4,562a00dac8ffc20012513fbe
30,67,5,1,425,0,1,4,562a00dac8ffc20012513fbe
32,58,5,0,-440,0,1,4,562a00dac8ffc20012513fbe
33,86,6,1,458,0,1,4,562a00dac8ffc20012513fbe
34,31,5,1,459,0,1,4,562a00dac8ffc20012513fbe
35,95,6,1,470,0,1,4,562a00dac8ffc20012513fbe
36,94,3,1,490,0,1,4,562a00dac8ffc20012513fbe
37,90,3,1,419,0,1,4,562a00dac8ffc20012513fbe
38,43,6,0,-445,0,1,4,562a00dac8ffc20012513fbe
40,59,5,0,-485,0,1,4,562a00dac8ffc20012513fbe
41,18,3,0,-496,0,1,4,562a00dac8ffc20012513fbe
42,12,3,0,-477,0,1,4,562a00dac8ffc20012513fbe
43,12,5,1,480,0,1,4,562a00dac8ffc20012513fbe
44,21,5,1,416,0,1,4,562a00dac8ffc20012513fbe
46,92,6,0,-457,0,1,4,562a00dac8ffc20012513fbe
47,24,3,0,-431,0,1,4,562a00dac8ffc20012513fbe
48,69,5,0,-446,0,1,4,562a00dac8ffc20012513fbe
1,5,6,0,-429,1,1,4,562a00dac8ffc20012513fbe
2,16,6,1,455,1,1,4,562a00dac8ffc20012513fbe
3,14,6,1,488,1,1,4,562a00dac8ffc20012513fbe
4,60,6,0,-437,1,1,4,562a00dac8ffc20012513fbe
5,16,6,1,491,1,1,4,562a00dac8ffc20012513fbe
7,57,6,0,-424,1,1,4,562a00dac8ffc20012513fbe
8,94,6,1,491,1,1,4,562a00dac8ffc20012513fbe
9,8,6,0,-443,1,1,4,562a00dac8ffc20012513fbe
11,13,6,1,432,1,1,4,562a00dac8ffc20012513fbe
12,82,6,0,-457,1,1,4,562a00dac8ffc20012513fbe
13,29,6,1,476,1,1,4,562a00dac8ffc20012513fbe
14,12,6,0,-496,1,1,4,562a00dac8ffc20012513fbe
